Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.00295469982458485,0.00334089980260675,212,0,1,D,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF 39 0C 16 08 FF FF FF FF FF FF FF FF 00 00 00 00,0E A0 40,0,1,1,1,0,0,0,1,0
64,2,0.00334709980128878,0.00364619978460038,227,0,1,C,39 06 0B 08 00 51 51 18 00 C0 CF FF 39 04 22 08 00 3D 86 7E 78 0F FA FF,1A 48 3B,0,1,1,1,1,1,0,1,0
64,3,0.00408219975764723,0.00458839972866369,219,0,1,E,39 0F 01 06 4E 85 04 60 00 00 39 0E 00 20 7B A8 CC F9 F7 7E 83 1A 3F 00 80 95 42 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 47 DE 14 8B 00 00,05 87 D7,0,1,1,1,0,0,0,1,0
64,4,0.00553439967143277,0.00604759964203365,220,0,1,E,39 10 01 10 15 3F 42 39 47 00 1E 12 0D 9C 00 20 05 F0 FF F1 39 10 00 16 75 26 CF AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 47 77 21 45 00 00,1E 3A 05,0,1,1,1,6,0,0,1,0
64,5,0.00732179956531809,0.00769589954405835,217,0,1,D,39 13 00 15 ED A5 CE 00 A0 03 80 00 D0 0F 20 F3 FF FF FF FF FF 46 5D 42 52 00 00 00 00 00 00 00,12 90 1A,1,1,1,0,6,0,0,1,0
64,6,0.00927189944954421,0.00965009942804106,219,0,1,D,39 0F 00 15 C5 74 CD 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 48 C9 EA 72 00 00 00 00 00 00 00,12 AD E1,0,1,1,1,0,0,0,1,0
64,7,0.0183700989094007,0.0188992988789329,02D,0,1,E,07 26 D6 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 4C 7E 6C D8 00 00 00 00 00 00 00 00 00 00,0D F8 4D,0,1,1,1,6,0,0,1,0
64,8,0.0239771985765174,0.0244923985468808,219,0,1,E,39 0E 00 20 EF 8C CD F9 F7 7E 83 1A 3F 00 80 95 42 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 49 CE E4 2E 00 00 00 00 00 00 00 00 00 00 00 00,15 C9 4F,0,1,1,1,1,1,0,1,0
64,9,0.0254603984884625,0.0258364984672027,220,0,1,D,39 10 00 16 65 7C D0 AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 48 94 73 4D 00 00 00 00 00 00,08 5A 42,0,1,1,1,5,1,0,1,0
64,10,0.025842698465766,0.0265408984252651,18E19490,0,1,F,01 02 00 1C 00 06 01 80 0C 0C 01 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 2A 2B 01 20 03 00 00 02 AE 01 2C 12 00 00 02 02 BC 03 21 31 00 00 AC 0D 40 1F 0C 44 2D 4B 13 11 00 15 05 15 00 00,1D 08 1F,0,1,1,1,1,1,1,1,0
64,11,0.0270889983917755,0.0274691983701536,217,0,1,D,39 13 00 15 BE 14 CF FF 9F 03 00 00 D0 0F 20 F3 FF FF FF FF FF 48 26 B8 AC 00 00 00 00 00 00 00,09 A1 EE,0,1,1,1,2,0,0,1,0
64,12,0.029277198261866,0.0296552982404875,219,0,1,D,39 0F 00 15 E3 45 CE 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 4A BB 09 9E 00 00 00 00 00 00 00,0B F7 17,0,1,1,1,0,0,0,1,0
64,13,0.0383153977252846,0.0388435976948762,02D,0,1,E,18 2F D7 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 4E 8D D7 5B 00 00 00 00 00 00 00 00 00 00,08 8D A0,0,1,1,1,5,1,0,1,0
64,14,0.0439754973892548,0.0444915973596835,219,0,1,E,39 0E 00 20 53 E1 CE F9 F7 7E 83 1A 3F 00 80 95 42 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 4B 23 61 D5 00 00 00 00 00 00 00 00 00 00 00 00,01 39 49,0,1,1,1,2,0,0,1,0
64,15,0.0454576973012593,0.0458347972799402,220,0,1,D,39 10 00 16 41 D4 D1 AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 4A 26 0E AE 00 00 00 00 00 00,18 6E 53,0,1,1,1,6,0,0,1,0
64,16,0.0469889972103488,0.0475021971808309,217,0,1,E,39 13 00 15 79 01 D0 FE 9F 03 80 FF CF 0F 20 F3 FF FF FF FF FF 4A 97 65 1B 39 13 01 0B 55 00 18 55 85 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,03 80 30,0,1,1,1,7,1,0,1,0
64,17,0.0492721970747994,0.0496522970533022,219,0,1,D,39 0F 00 15 01 55 CF 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 4C CB 4A 7C 00 00 00 00 00 00 00,02 DA B3,0,1,1,1,2,0,0,1,0
63,1,0.000451299973207142,0.000830499951644621,217,0,1,D,39 13 00 15 5E 0F AA FF 9F 03 C0 FF CF 0F 20 F3 FF FF FF FF FF FF CC 6B C6 00 00 00 00 00 00 00,0F FD 3F,0,1,1,1,1,1,0,1,0
63,2,0.00177249989476991,0.00215069987314802,219,0,1,D,39 0F 00 15 4B 73 A9 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 01 E8 BF BB 00 00 00 00 00 00 00,0F 5F 7C,1,1,1,0,2,0,0,1,0
63,3,0.00547669967485831,0.00566279966487852,227,0,1,9,41 00 05 08 01 B9 1E 8B DC 92 89 D3,0 63 C9,0,1,1,1,5,1,0,1,0
63,4,0.010821099357571,0.0113481993273467,02D,0,1,E,38 56 B2 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 05 98 B5 15 00 00 00 00 00 00 00 00 00 00,0F AC F2,0,1,1,1,4,0,0,1,0
63,5,0.01135439932591,0.0117395993039913,212,0,1,D,39 04 0C 05 0E 0F F4 FF FF 39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF 00 00 00 00 00 00 00,01 76 17,0,1,1,1,7,1,0,1,0
63,6,0.0154537990825361,0.016115899044297,227,0,1,F,39 06 0B 08 00 51 51 18 00 C0 CF FF 39 04 22 08 00 3D 87 7E 78 0F FA FF 39 80 00 0C 00 FF 23 7E 42 0F B0 FE 07 2C DA 7F 41 00 00 08 03 E3 3F D6 EC 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00,0C 5F 98,0,1,1,1,4,0,0,1,0
63,7,0.0166238990130694,0.0171390989835515,219,0,1,E,39 0E 00 20 92 78 A9 F9 F7 7E 83 1A 3F 00 80 95 42 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 02 E5 46 2F 00 00 00 00 00 00 00 00 00 00 00 00,10 30 9C,0,1,1,1,1,1,0,1,0
63,8,0.0179030989371256,0.0184202989073703,220,0,1,E,39 10 01 10 15 3F 42 00 47 00 E6 42 0C 9C 00 20 05 F0 FF F5 39 10 00 16 04 04 AC AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 01 01 3C 63 00 00,00 5A CE,0,1,1,1,2,0,0,1,0
63,9,0.0184264989060523,0.0191285988654385,18E19490,0,1,F,02 84 00 64 64 64 01 00 00 00 94 12 02 00 00 00 00 00 00 00 EC 00 EE 00 BD 04 01 00 00 00 00 00 00 00 00 00 47 14 C0 05 CB 04 88 13 00 00 00 00 B8 0C 80 0C 5D 0F 2C 0D 13 11 00 15 05 15 00 00,16 96 FC,0,1,1,1,5,1,1,1,0
63,10,0.0198247988230378,0.0202009988016534,217,0,1,D,39 13 00 15 AD 0B AB 00 A0 03 C0 FF CF 0F 20 F3 FF FF FF FF FF 01 48 8E E9 00 00 00 00 00 00 00,18 5C 65,0,1,1,1,6,0,0,1,0
63,11,0.0217729987073767,0.0221530986858795,219,0,1,D,39 0F 00 15 6D 42 AA 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 03 4D 7F 58 00 00 00 00 00 00 00,0E 10 D9,0,1,1,1,2,0,0,1,0
63,12,0.0307951981717451,0.0313252981413427,02D,0,1,E,27 5F B3 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 07 A9 6D 14 00 00 00 00 00 00 00 00 00 00,1D FC 07,0,1,1,1,7,1,0,1,0
63,13,0.0364772978344092,0.0369943978047786,219,0,1,E,39 0E 00 20 2E 15 AA F9 F7 7E 83 1A 3F 00 80 95 42 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 04 38 00 97 00 00 00 00 00 00 00 00 00 00 00 00,08 DE 0E,0,1,1,1,3,1,0,1,0
63,14,0.0379063977495662,0.0382835977282411,220,0,1,D,39 10 00 16 20 AC AD AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 03 AB C3 1E 00 00 00 00 00 00,0C FA 7B,0,1,1,1,6,0,0,1,0
63,15,0.0394937976553251,0.0398728976338873,217,0,1,D,39 13 00 15 5F 2F AC 00 A0 03 40 00 D0 0F 20 F3 FF FF FF FF FF 03 0C 36 63 00 00 00 00 00 00 00,04 17 A5,0,1,1,1,1,1,0,1,0
63,16,0.0417848975193067,0.0421660974977442,219,0,1,D,39 0F 00 15 8F 52 AB 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 05 97 E9 03 00 00 00 00 00 00 00,18 7B B7,0,1,1,1,3,1,0,1,0
63,17,0.0479781971516218,0.0486922971102956,18E19490,0,1,F,03 00 00 91 01 91 01 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B8 0C 10 27 00 E4 0C 00 00 00 00 00 00 54 D9 05 62 16 D1 0C C4 09 00 13 11 00 15 05 15 00 00,14 DA 74,0,1,1,1,1,1,1,1,0
62,1,0.00226889986529955,0.00264909984367765,219,0,1,D,39 0F 00 15 6F 7E 8A 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF C2 52 3D B2 00 00 00 00 00 00 00,10 FB 9B,0,1,1,1,2,0,0,1,0
62,2,0.00594709964693152,0.00613449963663708,227,0,1,9,41 00 05 08 00 80 03 43 CC 6E C5 F0,1 F0 8D,0,1,1,1,0,0,0,1,0
