Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
43,1,0.000704399958181057,0.00121149992914408,217,0,1,E,39 13 00 15 DF 5D 4D 23 A0 41 4D 41 4F 12 F0 F0 FF FF FF FF FF 44 84 83 91 39 13 01 0B 52 BA 38 55 95 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,18 8D 19,0,1,1,1,1,1,0,1,0
43,2,0.00165149990195346,0.0021646998724356,219,0,1,E,39 0E 00 20 71 3C 4A F7 E7 7E 83 1A 3F C2 7F 95 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 44 D4 CF 5B 00 00 00 00 00 00 00 00 00 00 00 00,12 6E A4,0,1,1,1,7,1,0,1,0
43,3,0.00686479959244934,0.0072438995710115,219,0,1,D,39 0F 00 15 81 E6 4B 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 45 73 16 22 00 00 00 00 00 00 00,11 5F D8,0,1,1,1,1,1,0,1,0
43,4,0.00854389949276424,0.00892109947143919,220,0,1,D,39 10 00 16 1B 47 4F AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF 44 FD 1D 7E 00 00 00 00 00 00,12 C3 23,0,1,1,1,6,0,0,1,0
43,5,0.0115991993113767,0.012116299281746,02D,0,1,E,AC D5 54 05 C4 09 00 90 70 97 D5 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF 49 CA F4 87 00 00 00 00 00 00 00 00 00 00,12 0D 47,0,1,1,1,2,0,0,1,0
43,6,0.0206988987711441,0.0210710987499971,217,0,1,D,39 13 00 15 F9 6C 4E 23 A0 41 4D 41 4F 12 F0 F0 FF FF FF FF FF 46 34 37 60 00 00 00 00 00 00 00,07 DA 1F,0,1,1,1,2,0,0,1,0
43,7,0.0215610987199568,0.0220762986903202,219,0,1,E,39 0E 00 20 11 0C 4B F8 E7 7E 83 1A 3F C3 7F 95 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 46 BC 08 26 00 00 00 00 00 00 00 00 00 00 00 00,1D 16 6C,0,1,1,1,1,1,0,1,0
43,8,0.0268543984057033,0.027234498384206,219,0,1,D,39 0F 00 15 2F 94 4C 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 47 8A 3F 42 00 00 00 00 00 00 00,09 8D F2,0,1,1,1,2,0,0,1,0
43,9,0.0284785983092775,0.0288546982880177,220,0,1,D,39 10 00 16 0B 1D 50 AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF 46 E5 11 FB 00 00 00 00 00 00,16 F6 B0,0,1,1,1,5,1,0,1,0
43,10,0.028860898286581,0.0295749982452548,18E19490,0,1,F,03 00 00 96 01 96 01 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 0C 10 27 00 E4 0C 00 00 00 00 00 00 54 D9 05 55 16 D4 0C C4 09 00 13 11 00 15 05 15 00 00,0D 3E 58,0,1,1,1,1,1,1,1,0
43,11,0.0315950981242565,0.0321131980945665,02D,0,1,E,DB 6A 55 05 C4 09 00 90 70 97 D6 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF 4B 51 8C CE 00 00 00 00 00 00 00 00 00 00,16 C9 B2,0,1,1,1,3,1,0,1,0
43,12,0.0414670975381739,0.0419841975085433,219,0,1,E,39 0E 00 20 FD F3 4C F8 E7 7E 83 1A 3F C3 7F 95 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 48 59 FF CD 00 00 00 00 00 00 00 00 00 00 00 00,06 17 60,0,1,1,1,3,1,0,1,0
43,13,0.0419902975071125,0.042360497486203,217,0,1,D,39 13 00 15 24 CC 4F 23 A0 41 CD 42 4F 12 F0 F0 FF FF FF FF FF 48 37 4E 9B 00 00 00 00 00 00 00,0F 92 00,0,1,1,1,0,0,0,1,0
43,14,0.0423665974847722,0.0426316974701024,227,0,1,B,00 80 00 04 C7 11 A9 04 41 00 05 08 00 80 03 43 CB EE 4B F1,19 B9 E3,0,1,1,1,7,1,0,1,0
43,15,0.0456638972890175,0.0457740972835438,068,0,0,1,04,37 77,0,1,1,1,,,0,,
43,16,0.0469780972109959,0.0473571971895581,219,0,1,D,39 0F 00 15 CD 84 4D 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 49 FE 85 09 00 00 00 00 00 00 00,17 74 2A,0,1,1,1,1,1,0,1,0
43,17,0.0485132971198539,0.0490263970904607,220,0,1,E,39 10 01 10 15 3F 42 00 46 00 EE 46 10 9C 00 22 05 F0 FF F5 39 10 00 16 C7 C6 51 AE 2A 0A FA DC EC 34 28 00 00 00 00 00 FF FF 48 0C 18 3B 00 00,18 2A 4A,0,1,1,1,6,0,0,1,0
42,1,0.000634899962307145,0.000934999945559383,227,0,1,C,39 06 0B 08 00 51 51 14 00 C0 CF FF 39 04 22 08 00 3D 87 7E 78 1F FA FF,02 DB 85,0,1,1,1,2,0,0,1,0
42,2,0.0050733996988015,0.00544559967765455,217,0,1,D,39 13 00 15 8E D7 24 23 A0 41 0D 40 4F 12 F0 F0 FF FF FF FF FF F2 6C 1E 44 00 00 00 00 00 00 00,04 5C FF,0,1,1,1,2,0,0,1,0
42,3,0.0059935996441709,0.00650779961459368,219,0,1,E,39 0E 00 20 E1 D6 21 F8 E7 7E 83 1A 3F C3 7F D5 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF F2 1A 10 C8 00 00 00 00 00 00 00 00 00 00 00 00,03 3F 13,0,1,1,1,0,0,0,1,0
42,4,0.0106537993675033,0.0108769993552022,227,0,1,A,39 80 00 0C 00 7F A2 90 BE F1 AF FE F7 E4 90 9B,1 84 A1,0,1,1,1,2,0,0,1,0
42,5,0.0113009993290802,0.0116800993076424,219,0,1,D,39 0F 00 15 75 35 22 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF F3 08 64 49 00 00 00 00 00 00 00,17 64 5C,0,1,1,1,1,1,0,1,0
42,6,0.0128600992365193,0.0132362992152536,220,0,1,D,39 10 00 16 86 34 26 AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF F2 79 BE 53 00 00 00 00 00 00,02 1D 54,0,1,1,1,5,1,0,1,0
42,7,0.0132423992138229,0.0139545991726095,18E19490,0,1,F,00 00 00 A5 00 00 00 50 01 00 00 00 00 00 00 00 00 00 00 1A 5A 8F 00 00 00 00 02 00 00 00 00 00 00 00 00 00 4A 4A 4B EB 00 E9 00 31 01 06 01 F8 00 FA 00 4B 4A 4B FB 00 13 11 00 15 05 15 00 00,0C A9 49,0,1,1,1,7,1,1,1,0
42,8,0.0159966990503051,0.0165157990205557,02D,0,1,E,36 EB 2B 05 C4 09 00 90 70 97 BC 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF F7 EB 2A D6 00 00 00 00 00 00 00 00 00 00,08 32 3D,0,1,1,1,4,0,0,1,0
42,9,0.0251503985068666,0.0256555984778237,217,0,1,E,39 13 00 15 19 C4 25 23 A0 41 0D 41 4F 12 F0 F0 FF FF FF FF FF F4 A1 70 BD 39 13 01 0B 52 BA 38 55 95 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,09 FB A5,0,1,1,1,7,1,0,1,0
42,10,0.0259215984610819,0.0264367984314453,219,0,1,E,39 0E 00 20 AB 6E 22 F8 E7 7E 83 1A 3F C2 7F D5 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF F4 2F E7 AC 00 00 00 00 00 00 00 00 00 00 00 00,17 A7 27,0,1,1,1,1,1,0,1,0
42,11,0.0313708981375669,0.0317519981160103,219,0,1,D,39 0F 00 15 97 25 23 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF F5 82 2D F3 00 00 00 00 00 00 00,0D DE F6,0,1,1,1,3,1,0,1,0
42,12,0.0328120980520055,0.0331871980308051,220,0,1,D,39 10 00 16 4A EF 27 AE 2A 0A FA DC EC 34 28 00 00 00 00 00 FF FF F4 80 75 55 00 00 00 00 00 00,00 2B 80,0,1,1,1,4,0,0,1,0
42,13,0.0360212978614811,0.0365403978317317,02D,0,1,E,B3 B9 2C 05 C4 09 00 90 70 97 BD 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF F9 6B DF 2C 00 00 00 00 00 00 00 00 00 00,0B FA 4E,0,1,1,1,4,0,0,1,0
42,14,0.0428664974550941,0.0435646974145931,18E19490,0,1,F,01 01 00 3C 0D FF 00 80 0C 07 01 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 2B 2B 01 20 03 00 00 02 AE 01 2B 12 00 00 02 02 BD 03 B8 38 00 00 AC 0D 40 1F 0C 5A 27 4B 13 11 00 15 05 15 00 00,00 F7 96,0,1,1,1,1,1,1,1,0
42,15,0.045056897325054,0.0454300973038477,217,0,1,D,39 13 00 15 4F 1A 26 23 A0 41 CD 41 4F 12 F0 F0 FF FF FF FF FF F6 3E 12 E0 00 00 00 00 00 00 00,0D 7D 81,0,1,1,1,3,1,0,1,0
42,16,0.0459720972707203,0.0464871972412084,219,0,1,E,39 0E 00 20 C9 9F 23 F8 E7 7E 83 1A 3F C3 7F D5 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF F6 CA B9 EA 00 00 00 00 00 00 00 00 00 00 00 00,0A 2A 1B,0,1,1,1,1,1,0,1,0
41,1,0.00498759970389528,0.00569779966280064,18E19490,0,1,F,00 00 00 A5 00 00 00 50 01 00 00 00 00 00 00 00 00 00 00 1A 5A 8E 00 00 00 00 01 00 00 00 00 00 00 00 00 00 4A 4A 4B EA 00 E9 00 32 01 06 01 F8 00 FB 00 4B 4A 4B 19 01 13 11 00 15 05 15 00 00,01 10 60,0,1,1,1,5,1,1,1,0
41,2,0.00805379952186058,0.00856489949258614,219,0,1,E,39 FE 0B 08 61 00 00 00 01 00 00 00 39 0E 00 20 7C F8 FC F8 E7 7E 83 1A 3F C4 7F D5 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF A7 1F 42 CA,1A 6C 1E,0,1,1,1,5,1,0,1,0
41,3,0.00857099949115536,0.00894419947006779,217,0,1,D,39 13 00 15 36 3A FF 23 A0 41 4D 3F 4F 12 F0 F0 FF FF FF FF FF A8 0C 14 C9 00 00 00 00 00 00 00,14 3F 25,0,1,1,1,3,1,0,1,0
41,4,0.00895029946863701,0.00921539945396714,227,0,1,B,00 80 00 04 2E 3D 99 04 41 00 05 08 00 80 03 43 CB ED AB C0,13 5F 38,0,1,1,1,7,1,0,1,0
41,5,0.0121915992762069,0.0123017992707332,068,0,0,1,04,37 77,0,1,1,1,,,0,,
41,6,0.0135557991952169,0.0139368991736603,219,0,1,D,39 0F 00 15 C6 56 FD 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF A8 59 8C 0C 00 00 00 00 00 00 00,1F 23 B3,0,1,1,1,3,1,0,1,0
41,7,0.0150788991047932,0.015595099075216,220,0,1,E,39 10 01 10 15 3F 42 30 46 00 6E 06 10 9C 00 22 05 F0 FF F1 39 10 00 16 0D 1A 01 AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF A8 01 17 DB 00 00,10 21 A5,0,1,1,1,1,1,0,1,0
41,8,0.0181850989203838,0.0187022988907472,02D,0,1,E,39 85 06 05 C4 09 00 90 70 97 A6 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF AD 85 09 BD 00 00 00 00 00 00 00 00 00 00,0C 42 DE,0,1,1,1,2,0,0,1,0
41,9,0.0187084988893105,0.0188598988811533,212,0,1,8,39 04 06 04 44 C8 D3 89,0 EE 99,0,1,1,1,4,0,0,1,0
41,10,0.0234555986074838,0.0239576985787437,219,0,1,E,39 0E 02 2A 3E 00 4A 00 65 0A B0 41 17 74 01 00 47 40 3E 49 E0 D1 6C C2 4C 85 D3 4D 8C 82 F8 47 CE 43 06 88 67 E9 FF FF FF FF A8 B0 9E 3D 00 00,02 19 28,0,1,1,1,4,0,0,1,0
41,11,0.0274080983728311,0.0277801983518088,217,0,1,D,39 13 00 15 87 65 00 23 A0 41 4D 3F 4F 12 F0 F0 FF FF FF FF FF AA 94 90 88 00 00 00 00 00 00 00,1F 9B 62,0,1,1,1,2,0,0,1,0
41,12,0.028234198323787,0.0286063983026401,219,0,1,D,39 0E 01 0F 14 35 FF FF FF FF FF FF FF DF D2 08 BC FD FF 39 0E 03 08 56 FA 2E F8 FF FF FF FF 00,15 58 AB,0,1,1,1,2,0,0,1,0
41,13,0.0286625982983537,0.0293666982576212,540,0,1,F,23 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,11 12 63,0,1,1,1,5,1,0,1,0
41,14,0.0329167980457896,0.0331028980358098,227,0,1,9,41 00 05 08 01 A1 8D 9C C8 E7 61 4F,1 15 70,0,1,1,1,5,1,0,1,0
41,15,0.0333748980185931,0.034028997980829,219,0,1,F,39 0E 00 20 9E 00 FD F8 E7 7E 83 1A 3F C2 7F D5 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF A9 98 77 69 39 0F 00 15 E0 67 FE 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF AA 0A 1C CA 00 00 00,00 0A 5D,0,1,1,1,4,0,0,1,0
41,16,0.0349609979244292,0.0353391979030448,220,0,1,D,39 10 00 16 40 F2 02 AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF AA 20 5A 82 00 00 00 00 00 00,1D 91 4B,0,1,1,1,7,1,0,1,0
41,17,0.0353453979016081,0.0360415978612258,18E19490,0,1,F,01 02 00 3B 0D FE 00 80 0C 07 01 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 2B 2B 01 20 03 00 00 02 AE 01 2B 12 00 00 02 02 BC 03 B8 38 00 00 AC 0D 40 1F 0C 53 0D 4B 13 11 00 15 05 15 00 00,09 2B 65,0,1,1,1,7,1,1,1,0
41,18,0.0381675977340592,0.0386877977041258,02D,0,1,E,FE E1 07 05 C4 09 00 90 70 97 A7 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF AF AA CB 96 00 00 00 00 00 00 00 00 00 00,01 69 0D,0,1,1,1,5,1,0,1,0
41,19,0.0386939977028078,0.0393670976639157,212,0,1,F,39 04 0C 05 0E 0F F4 FF FF 39 15 01 14 43 FD 91 E5 F8 5F F5 FF FF FF FF FE 07 00 9F 28 01 FE FF FF 39 0C 14 0C FF FF FF 00 FE FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,17 E8 77,0,1,1,1,7,1,0,1,0
41,20,0.0428073974586027,0.0431064974419144,227,0,1,C,39 06 0B 08 00 51 51 14 00 C0 CF FF 39 04 22 08 00 3D 86 7E 78 0F FA FF,15 31 74,0,1,1,1,1,1,0,1,0
41,21,0.0434664974194732,0.0438296973987418,219,0,1,D,39 0E 04 10 5C E3 0B 4C 24 B4 DB FF FF 2D 6C 71 EB FF FF FF 39 0F 01 06 4C 85 04 60 64 1C 00 00,17 21 FE,1,1,1,0,3,1,0,1,0
41,22,0.0473819971870171,0.0477551971658108,217,0,1,D,39 13 00 15 E6 B8 01 23 A0 41 0D 40 4F 12 F0 F0 FF FF FF FF FF AB 02 53 38 00 00 00 00 00 00 00,09 7D F2,0,1,1,1,3,1,0,1,0
41,23,0.048173197140045,0.0486872971105924,219,0,1,E,39 0E 00 20 D4 B8 FE F8 E7 7E 83 1A 3F C3 7F D5 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF AC D2 24 99 00 00 00 00 00 00 00 00 00 00 00 00,07 3C EE,0,1,1,1,0,0,0,1,0
40,1,0.000720299957237103,0.00123839992754708,02D,0,1,E,EA 7C E4 05 C4 09 00 90 70 97 92 61 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF 68 B1 20 4B 00 00 00 00 00 00 00 00 00 00,0B FD 93,0,1,1,1,3,1,0,1,0
40,2,0.00124459992611037,0.00162879990425101,212,0,1,D,39 04 0C 05 0E 0F F4 FF FF 39 0C 14 0C FF FF FF 00 FE FF FF FF FF FF FF FF 00 00 00 00 00 00 00,1C CF E8,0,1,1,1,6,0,0,1,0
40,3,0.00533699968315204,0.00585109965369949,227,0,1,E,39 06 0B 08 00 51 51 14 00 C0 CF FF 39 04 22 08 00 3D 87 7E 78 0F FA FF 39 80 00 0C 00 7F 81 90 C3 F1 AF FE 6B 2B 88 5C 00 00 00 00 00 00 00 00,1D 9A 50,0,1,1,1,0,0,0,1,0
