Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
38,1,0.0035175997911665,0.00367359978285496,227,0,1,8,00 80 00 04 A6 C6 F7 04,0 9C BB,0,1,1,1,7,1,0,1,0
38,2,0.00470559972063711,0.00508279969919333,220,0,1,D,39 10 00 16 08 4D F6 AE 2A 0A FA DC E8 34 28 00 00 00 00 00 FF FF 8D 64 FE C3 00 00 00 00 00 00,1E 58 BB,0,1,1,1,6,0,0,1,0
38,3,0.00665679960479792,0.00716999957528007,219,0,1,E,39 0E 00 20 B1 36 F0 F7 D7 7E 83 1A 3F 9B 7F 15 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 8E 7B 19 1C 00 00 00 00 00 00 00 00 00 00 00 00,0D 03 DD,0,1,1,1,7,1,0,1,0
38,4,0.00752199955343258,0.00763199954785197,068,0,0,1,04,37 77,0,1,1,1,,,0,,
38,5,0.0079423995284742,0.00831439950733913,217,0,1,D,39 13 00 15 08 EE F4 2E A0 40 8D 06 4F 12 38 F1 FF FF FF FF FF 8D 08 37 83 00 00 00 00 00 00 00,05 7E D4,0,1,1,1,2,0,0,1,0
38,6,0.0116763993067934,0.0120587992850409,219,0,1,D,39 0F 00 15 5E 92 F1 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 8F 07 FC 8F 00 00 00 00 00 00 00,0B 9B 1B,0,1,1,1,4,0,0,1,0
38,7,0.0134967991987196,0.0140135991691068,02D,0,1,E,47 17 FA 05 C4 09 00 90 70 97 58 62 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF 94 C7 AC 77 00 00 00 00 00 00 00 00 00 00,14 87 6B,0,1,1,1,2,0,0,1,0
38,8,0.0140199991676582,0.0141739991594654,212,0,1,8,39 04 06 04 83 1D 34 89,0 13 D7,0,1,1,1,5,1,0,1,0
38,9,0.0147899991219447,0.0155031990805532,18E19490,0,1,F,03 00 00 9A 01 9A 01 00 00 00 00 00 00 01 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 0C 01 10 00 E4 0C 00 00 00 00 00 00 54 D9 05 59 16 D2 0C C4 09 00 13 11 00 15 05 15 00 00,06 C6 66,0,1,1,1,0,0,1,1,0
38,10,0.0247495985306614,0.0251247985093363,220,0,1,D,39 10 00 16 2C E5 F7 AE 2A 0A FA DC E8 34 28 00 00 00 00 00 FF FF 8F 5B 0E 6F 00 00 00 00 00 00,00 43 95,0,1,1,1,4,0,0,1,0
38,11,0.0265727984224213,0.0272259983845919,219,0,1,F,39 0E 01 0F 14 35 FF FF FF FF FF FF FF 0F D3 08 BC FD FF 39 0E 00 20 25 12 F1 F7 D7 7E 83 1A 3F 9B 7F 15 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 90 68 71 69 00 00 00 00 00 00 00 00 00,0A D3 5D,0,1,1,1,3,1,0,1,0
38,12,0.0276619983577575,0.0280339983367412,217,0,1,D,39 13 00 15 9A 11 F5 2E A0 40 4D 06 4F 12 38 F1 FF FF FF FF FF 8F 49 03 34 00 00 00 00 00 00 00,17 FB F9,0,1,1,1,2,0,0,1,0
38,13,0.0282343983237752,0.0284231983136351,227,0,1,9,41 00 05 08 00 80 03 43 CB 83 94 84,0 0F 24,0,1,1,1,0,0,0,1,0
38,14,0.0316911981185513,0.0320715980969175,219,0,1,D,39 0F 00 15 78 A3 F2 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 91 48 A7 2A 00 00 00 00 00 00 00,1C 89 08,0,1,1,1,2,0,0,1,0
38,15,0.0334975980113086,0.0340187979813158,02D,0,1,E,58 1E FB 05 C4 09 00 90 70 97 58 62 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF 96 77 D1 1F 00 00 00 00 00 00 00 00 00 00,18 C2 04,0,1,1,1,6,0,0,1,0
38,16,0.0340247979800097,0.0346959979409929,212,0,1,F,39 04 0C 05 0E 0F F4 FF FF 39 15 01 14 3F E9 91 ED F8 5F F5 FF FF FF FF FE 07 00 9F 28 01 FE FF FF 39 0C 14 0C FF FF FF 01 FE FF FF FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,09 51 78,1,1,1,0,7,1,0,1,0
38,17,0.0381723977337742,0.0384711977171037,227,0,1,C,39 06 0B 08 00 51 51 14 00 C0 CF FF 39 04 22 08 00 3B 86 7E 78 0F FA FF,10 F7 95,0,1,1,1,1,1,0,1,0
38,18,0.0385115977136365,0.038670797705135,079,0,1,8,20 02 0C A0 00 49 9B 59,0 5E 31,0,1,1,1,0,0,0,1,0
38,19,0.0447447973435828,0.0451219973221391,220,0,1,D,39 10 00 16 36 9C F8 AE 2A 0A FA DC E8 34 28 00 00 00 00 00 FF FF 91 DC 0C A8 00 00 00 00 00 00,00 95 A1,0,1,1,1,6,0,0,1,0
38,20,0.0451279973208329,0.0458503972788953,18E19490,0,1,F,04 04 00 03 00 03 00 88 36 EE 0C 41 0D 22 01 F8 00 08 06 01 01 01 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,18 7C AB,0,1,1,1,1,1,1,1,0
38,21,0.0465403972369813,0.0470475972078197,219,0,1,E,39 0F 01 06 4B 85 04 60 C0 1A 39 0E 00 20 99 7F F2 F7 D7 7E 83 1A 3F 9B 7F 15 41 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 92 7D 83 EF 00 00,03 B1 A0,0,1,1,1,1,1,0,1,0
38,22,0.0477615971644809,0.0482675971355093,217,0,1,E,39 13 00 15 CC CF F6 2E A0 40 8D 06 4F 12 38 F1 FF FF FF FF FF 91 D5 E6 9D 39 13 01 0B 4C BA E8 54 95 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,04 63 C8,0,1,1,1,0,0,0,1,0
38,23,0.0482739971340607,0.0484619971238494,227,0,1,9,41 00 05 08 01 E7 12 E7 F5 64 D4 C2,0 37 6A,0,1,1,1,7,1,0,1,0
38,24,0.0516919969311402,0.052073196909459,219,0,1,D,39 0F 00 15 9A B3 F3 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 93 AB 66 7D 00 00 00 00 00 00 00,1D 05 8A,0,1,1,1,3,1,0,1,0
38,25,0.0534731968253936,0.0539923967955196,02D,0,1,E,05 21 FC 05 C4 09 00 90 70 97 58 62 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF 98 A2 74 96 00 00 00 00 00 00 00 00 00 00,03 14 57,0,1,1,1,4,0,0,1,0
38,26,0.0539983967942135,0.054276796778754,14420059,0,0,8,40 03 08 04 00 00 00 00,58 85,0,1,1,1,,,1,,
38,27,0.0646927961593065,0.0650687961380527,220,0,1,D,39 10 00 16 12 34 F9 AE 2A 0A FA DC E8 34 28 00 00 00 00 00 FF FF 93 8C 19 0A 00 00 00 00 00 00,1D BB B6,0,1,1,1,5,1,0,1,0
