Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
48,1,0.00173899989675874,0.00226509986659377,02D,0,1,E,CF 2C 2E 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF 2E 77 26 17 00 00 00 00 00 00 00 00 00 00,09 60 1D,0,1,1,1,3,1,0,1,0
48,2,0.00227109986516894,0.00263829984431883,219,0,1,D,39 0E 04 10 5C E3 0B 4C 24 B4 DB FF 2F AE 6C 75 EB FF FF FF 39 0F 01 06 4D 85 04 60 00 00 00 00,0E 97 23,0,1,1,1,5,1,0,1,0
48,3,0.00462249972557061,0.00499969970412682,217,0,1,D,39 13 00 15 DE 9A DB 01 A0 04 80 00 F0 0F 20 F3 FF FF FF FF FF 2A 2C A9 E9 00 00 00 00 00 00 00,01 1E CF,0,1,1,1,7,1,0,1,0
48,4,0.00702369958301574,0.00754089955326041,219,0,1,E,39 0E 00 20 D8 20 18 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 2A 18 3D 16 00 00 00 00 00 00 00 00 00 00 00 00,02 F7 12,0,1,1,1,3,1,0,1,0
48,5,0.00960089943001208,0.0101150994005536,220,0,1,E,39 10 01 10 15 41 41 82 50 00 86 46 11 9C 00 20 05 F0 FF F1 39 10 00 16 B2 59 10 AE 22 0A FA DC 90 00 28 00 00 00 00 00 FF FF 2A 12 82 AB 00 00,17 B7 10,0,1,1,1,7,1,0,1,0
48,6,0.0101211993991228,0.0108233993585031,18E19490,0,1,F,02 84 00 64 64 64 01 00 00 00 B1 12 02 00 00 00 00 00 00 00 04 01 06 01 BD 04 00 00 01 00 00 00 FF FF 00 00 4A 14 BE 05 D3 04 85 13 00 00 00 00 AC 0C 80 0C 41 0F BB 0B 13 11 00 15 05 15 00 00,15 12 35,0,1,1,1,5,1,1,1,0
48,7,0.0120253992860739,0.012405599264452,219,0,1,D,39 0F 00 15 A2 B1 18 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 2B 30 50 E8 00 00 00 00 00 00 00,14 8B 90,0,1,1,1,2,0,0,1,0
48,8,0.0167515990054881,0.0169107989969865,079,0,1,8,20 34 08 A0 00 49 A3 3E,1 01 CF,0,1,1,1,0,0,0,1,0
48,9,0.0217509987086828,0.0222800986783397,02D,0,1,E,D0 25 2F 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF 30 A4 1E 4F 00 00 00 00 00 00 00 00 00 00,00 7C F6,0,1,1,1,6,0,0,1,0
48,10,0.022286298676903,0.0224386986686864,212,0,1,8,39 04 06 04 0B 8D 71 84,0 D8 CB,0,1,1,1,5,1,0,1,0
48,11,0.0224466986673804,0.0226717986550852,227,0,1,A,39 80 00 0C 00 7F E0 7E 52 2F B0 FE 31 D0 27 4E,0 92 E6,0,1,1,1,4,0,0,1,0
48,12,0.0246380985372809,0.0250162985158965,217,0,1,D,39 13 00 15 24 AF DC 00 A0 04 40 00 F0 0F 20 F3 FF FF FF FF FF 2C 8A 51 F8 00 00 00 00 00 00 00,0F D0 C4,0,1,1,1,0,0,0,1,0
48,13,0.0272202983839804,0.0277364983542845,219,0,1,E,39 0E 00 20 4C 04 19 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 2C 19 33 E9 00 00 00 00 00 00 00 00 00 00 00 00,14 50 85,0,1,1,1,2,0,0,1,0
48,14,0.0295884982433847,0.0299646982220003,220,0,1,D,39 10 00 16 96 F1 11 AE 22 0A FA DC 90 00 28 00 00 00 00 00 FF FF 2C CD 11 38 00 00 00 00 00 00,07 89 7C,0,1,1,1,5,1,0,1,0
48,15,0.0317686981139502,0.0320658980972559,227,0,1,C,3E 80 01 08 C3 02 18 B0 B9 13 E0 FF 41 00 05 08 00 80 03 43 CE 99 30 4A,14 D0 3B,0,1,1,1,7,1,0,1,0
48,16,0.0320718980959498,0.0324530980742685,219,0,1,D,39 0F 00 15 40 A1 19 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 2D 86 A0 F9 00 00 00 00 00 00 00,08 17 63,0,1,1,1,3,1,0,1,0
48,17,0.0397951976374316,0.0405023975963963,18E19490,0,1,F,03 00 00 91 01 91 01 0B 00 0B 00 04 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AC 0C 86 13 00 80 0C 0A 00 0B 00 05 00 54 DA 05 50 16 D2 0C C4 09 00 13 11 00 15 05 15 00 00,16 63 F5,0,1,1,1,2,0,1,1,0
48,18,0.0417603975207612,0.0422885974903529,02D,0,1,E,85 C3 30 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF 32 BF 87 E7 00 00 00 00 00 00 00 00 00 00,16 80 7F,0,1,1,1,5,1,0,1,0
48,19,0.0446107973515382,0.0449869973301538,217,0,1,D,39 13 00 15 D7 AB DD FF 9F 04 40 00 F0 0F 20 F3 FF FF FF FF FF 2E B9 DC 23 00 00 00 00 00 00 00,08 03 23,0,1,1,1,6,0,0,1,0
48,20,0.0464470972425204,0.0467501972255945,212,0,1,C,39 FE 1D 08 59 40 62 01 00 00 00 00 39 04 0C 05 0E 0F F4 FF FF 00 00 00,0E 77 3E,0,1,1,1,5,1,0,1,0
48,21,0.0467563972241578,0.0469455972138753,227,0,1,9,39 04 22 08 00 3D 87 7E 78 0F FA FF,0 DF 32,0,1,1,1,0,0,0,1,0
48,22,0.0470915972042576,0.047606797174621,219,0,1,E,39 0E 00 20 F0 69 1A 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 2E F1 EA 8C 00 00 00 00 00 00 00 00 00 00 00 00,17 1B 11,0,1,1,1,1,1,0,1,0
48,23,0.0496407970529162,0.0500009970316506,220,0,1,D,39 10 00 16 DB 19 12 AE 22 0A FA DC 90 00 28 00 00 00 00 00 FF FF 2E D4 82 F7 00 00 00 00 00 00,0D 9F A0,0,1,1,0,5,1,0,1,0
47,1,1.6999998990741E-06,6.06999966338244E-05,649,0,1,0,,,,0,0,0,1,0,0,0,0
47,2,0.00201499988037313,0.00253109985080183,219,0,1,E,39 0E 00 20 86 3E F8 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF EA A5 A6 50 00 00 00 00 00 00 00 00 00 00 00 00,09 49 9F,0,1,1,1,2,0,0,1,0
47,3,0.00443919973645279,0.00481539971506838,220,0,1,D,39 10 00 16 17 E8 F0 AE 22 0A FA DC 8C 00 28 00 00 00 00 00 FF FF EA 87 4B 2E 00 00 00 00 00 00,15 05 34,0,1,1,1,5,1,0,1,0
47,4,0.006951299587314,0.00733349956557337,219,0,1,D,39 0F 00 15 AC 05 F8 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF EC 8A 26 C9 00 00 00 00 00 00 00,12 03 B5,0,1,1,1,4,0,0,1,0
47,5,0.00733949956426727,0.00744789955866292,068,0,0,1,04,37 77,0,1,1,1,,,0,,
47,6,0.0129138992333253,0.0130719992250078,227,0,1,8,00 80 00 04 FF 3D F1 00,0 23 01,0,1,1,1,1,1,0,1,0
47,7,0.0145820991342873,0.0152782990939051,18E19490,0,1,F,01 01 00 14 00 59 01 80 0C F6 00 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 43 2B 01 20 03 00 00 02 AE 01 27 12 00 00 02 02 B5 03 6B 31 00 00 AC 0D 40 1F 0C 37 05 51 13 11 00 15 05 15 00 00,10 33 37,0,1,1,1,7,1,1,1,0
47,8,0.0182462989167504,0.018776398886348,02D,0,1,E,11 16 0F 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF F0 B7 91 AE 00 00 00 00 00 00 00 00 00 00,05 61 2E,0,1,1,1,7,1,0,1,0
47,9,0.0209186987580949,0.0214368987282802,217,0,1,E,39 13 00 15 52 04 BC 00 A0 04 80 00 F0 0F 20 F3 FF FF FF FF FF EC BA 43 20 39 13 01 0B 58 00 28 55 85 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,14 E6 3F,0,1,1,1,4,0,0,1,0
47,10,0.0218908987003772,0.022546098662429,219,0,1,F,39 0E 01 0F 60 00 FF FF FF FF FF FF FF 4F D3 08 BC FD FF 39 0E 00 20 12 1A F9 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF ED 23 F4 4E 00 00 00 00 00 00 00 00 00,0C CB F6,0,1,1,1,5,1,0,1,0
47,11,0.0244820985465424,0.0248592985250986,220,0,1,D,39 10 00 16 33 40 F1 AE 22 0A FA DC 8C 00 28 00 00 00 00 00 FF FF EC 63 27 E3 00 00 00 00 00 00,13 6B 2D,0,1,1,1,6,0,0,1,0
47,12,0.0270271983954444,0.0274093983737038,219,0,1,D,39 0F 00 15 4E 15 F9 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF EE CC 1F 8F 00 00 00 00 00 00 00,1A 84 4B,0,1,1,1,4,0,0,1,0
47,13,0.0329074980463417,0.0331405980334529,212,0,1,A,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF,0 2F B8,0,1,1,1,4,0,0,1,0
47,14,0.0381487977351753,0.0386789977046482,02D,0,1,E,44 F0 10 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D3 39 FF FF FF FF 00 FE FF F2 B4 01 88 00 00 00 00 00 00 00 00 00 00,18 C8 67,0,1,1,1,7,1,0,1,0
47,15,0.0397651976392126,0.0401443976176501,217,0,1,D,39 13 00 15 D1 EF BD FF 9F 04 40 00 F0 0F 20 F3 FF FF FF FF FF EE BD 10 45 00 00 00 00 00 00 00,17 FC 30,0,1,1,1,1,1,0,1,0
47,16,0.0419443975098375,0.0424535974805571,219,0,1,E,39 0F 01 06 4D 85 04 60 00 00 39 0E 00 20 AE 77 FA 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF EF B5 FA 82 00 00,05 F8 6A,0,1,1,1,3,1,0,1,0
47,17,0.0444435973614645,0.0449577973318873,220,0,1,E,39 10 01 10 15 42 40 30 50 00 56 12 0D 9C 00 20 05 F0 FF F1 39 10 00 16 7E A8 F2 AE 22 0A FA DC 8C 00 28 00 00 00 00 00 FF FF EE 54 DD 59 00 00,17 50 62,0,1,1,1,7,1,0,1,0
47,18,0.0449638973305753,0.0456700972895994,18E19490,0,1,F,02 84 00 64 64 64 01 00 00 00 BE 12 03 00 00 00 00 00 00 00 02 01 06 01 BD 04 00 00 01 00 00 00 01 00 00 00 48 14 BD 05 D1 04 84 13 00 00 00 00 AC 0C 80 0C 38 0F BB 0B 13 11 00 15 05 15 00 00,00 04 D5,0,1,1,1,1,1,1,1,0
47,19,0.0469380972133706,0.0473201971917547,219,0,1,D,39 0F 00 15 68 24 FA 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF F0 1E F4 EF 00 00 00 00 00 00 00,05 C2 64,0,1,1,1,4,0,0,1,0
46,1,0.00551919967233516,0.00589129965131289,227,0,1,D,39 06 0B 08 00 11 11 18 00 00 D0 FF 39 80 00 0C 00 7F E0 7E 49 2F B0 FE B9 03 3B 0E 00 00 00 00,0C 66 05,0,1,1,1,2,0,0,1,0
46,2,0.0108095993582538,0.0113376993279701,02D,0,1,E,43 C8 F3 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF B8 E3 0D 82 00 00 00 00 00 00 00 00 00 00,13 0B 86,0,1,1,1,5,1,0,1,0
46,3,0.0113438993265333,0.011497099318388,212,0,1,8,39 04 06 04 5D 5C 65 84,0 84 3A,0,1,1,1,4,0,0,1,0
46,4,0.011973199289173,0.0123523992676104,217,0,1,D,39 13 00 15 F6 73 A0 FF 9F 04 C0 FF EF 0F 20 F3 FF FF FF FF FF B4 42 98 FF 00 00 00 00 00 00 00,0F 76 C5,0,1,1,1,1,1,0,1,0
46,5,0.014586399134032,0.0150995991045142,219,0,1,E,39 0E 00 20 46 5A DD 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF B4 1A B8 A8 00 00 00 00 00 00 00 00 00 00 00 00,0B E0 DB,0,1,1,1,7,1,0,1,0
46,6,0.0154675990817168,0.0156556990716183,227,0,1,9,3E 80 01 08 C3 02 18 B0 B9 13 E0 FF,1 2B E1,0,1,1,1,7,1,0,1,0
46,7,0.0168976989968144,0.0172768989753706,220,0,1,D,39 10 00 16 F5 86 D5 AE 22 0A FA DC 8C 00 28 00 00 00 00 00 FF FF B4 F8 3F DF 00 00 00 00 00 00,00 2A 31,0,1,1,1,0,0,0,1,0
46,8,0.0194728988439294,0.0198519988224916,219,0,1,D,39 0F 00 15 C4 6A DD 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF B5 35 AB 52 00 00 00 00 00 00 00,0E E7 D1,0,1,1,1,1,1,0,1,0
46,9,0.0270380983947973,0.0277442983539401,18E19490,0,1,F,03 00 00 8D 01 8D 01 0B 00 0C 00 04 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AC 0C 86 13 00 80 0C 0A 00 0B 00 05 00 54 D9 05 45 16 D5 0C C4 09 00 13 11 00 15 05 15 00 00,0F 9C 61,0,1,1,1,1,1,1,1,0
46,10,0.030804398171199,0.0313334981407372,02D,0,1,E,1E F7 F4 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF BA 03 9B 1E 00 00 00 00 00 00 00 00 00 00,01 19 8C,0,1,1,1,6,0,0,1,0
46,11,0.0322136980875314,0.0325928980659689,217,0,1,D,39 13 00 15 29 CE A1 00 A0 04 80 00 F0 0F 20 F3 FF FF FF FF FF B6 8E DE 0F 00 00 00 00 00 00 00,1E 96 AF,0,1,1,1,1,1,0,1,0
46,12,0.034458897954238,0.0349739979247261,219,0,1,E,39 0E 00 20 FA 37 DE 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF B6 1B 0E 8F 00 00 00 00 00 00 00 00 00 00 00 00,1D 07 8B,0,1,1,1,1,1,0,1,0
46,13,0.0355140978915927,0.0357071978811973,212,0,1,9,39 04 0C 05 0E 0F F4 FF FF 00 00 00,1 37 80,0,1,1,1,4,0,0,1,0
46,14,0.0357133978797606,0.0360115978630069,227,0,1,C,39 04 22 08 00 3D C7 7E 78 2F FE FF 41 00 05 08 00 80 03 43 CE 98 B9 37,15 83 7F,0,1,1,1,0,0,0,1,0
46,15,0.0369635978055385,0.0373387977842135,220,0,1,D,39 10 00 16 B8 6E D6 AE 22 0A FA DC 8C 00 28 00 00 00 00 00 FF FF B6 B7 32 E4 00 00 00 00 00 00,0F 3A E3,0,1,1,1,4,0,0,1,0
46,16,0.0394986976550342,0.0398788976335311,219,0,1,D,39 0F 00 15 E2 5B DE 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF B7 01 67 9B 00 00 00 00 00 00 00,0F 40 86,0,1,1,1,2,0,0,1,0
46,17,0.0407228975823557,0.0409520975696984,227,0,1,A,05 00 00 0C F5 FC FF 00 00 00 00 00 BD 3F 98 CF,0 C1 CD,0,1,1,1,0,0,0,1,0
45,1,0.000198399988221354,0.000579599966540096,219,0,1,D,39 0F 00 15 E4 1F BE 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 75 D3 29 5D 00 00 00 00 00 00 00,18 FB 12,0,1,1,1,3,1,0,1,0
45,2,0.00624159962944759,0.00661379960830065,227,0,1,D,39 06 0B 08 00 11 11 18 00 00 D0 FF 39 80 00 0C 00 7F 20 7F 4A 2F B0 FE 7D DC BE 5E 00 00 00 00,0F 3D 77,0,1,1,1,2,0,0,1,0
45,3,0.0114959993175034,0.0120241992870951,02D,0,1,E,C0 CD D5 05 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 7B 19 2C 19 00 00 00 00 00 00 00 00 00 00,0A 86 32,0,1,1,1,5,1,0,1,0
45,4,0.0120303992857771,0.0121864992775784,212,0,1,8,39 04 06 04 1F 18 5F 84,1 DD B8,0,1,1,1,7,1,0,1,0
45,5,0.0126306992501384,0.0130088992286352,217,0,1,D,39 13 00 15 6C 38 82 FF 9F 04 40 00 F0 0F 20 F3 FF FF FF FF FF 77 F8 E4 3E 00 00 00 00 00 00 00,00 B4 60,0,1,1,1,0,0,0,1,0
45,6,0.0153108990910198,0.0158239990616266,219,0,1,E,39 0E 00 20 43 75 BF 0D 48 80 83 1A 3F 00 80 D5 56 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 76 A5 63 0D 00 00 00 00 00 00 00 00 00 00 00 00,02 A1 45,0,1,1,1,7,1,0,1,0
45,7,0.0158421990594775,0.016546399018739,540,0,1,F,22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,07 AA FF,0,1,1,1,5,1,0,1,0
45,8,0.017552398957946,0.0179284989366863,220,0,1,D,39 10 00 16 95 A1 B7 AE 22 0A FA DC 88 00 28 00 00 00 00 00 FF FF 76 5F 11 2D 00 00 00 00 00 00,19 DC 03,0,1,1,1,5,1,0,1,0
45,9,0.0201964988009706,0.0205816987790519,219,0,1,D,39 0F 00 15 06 0F BF 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 77 41 E9 7C 00 00 00 00 00 00 00,1B FA 02,0,1,1,1,7,1,0,1,0
