Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
40,1,2.4999998871067E-07,4.22499976139836E-05,,0,,,,,,0,0,0,,,1,,
40,2,0.000425649974733489,0.00112784993399505,18E19490,0,1,F,00 00 00 01 55 55 55 55 05 6C 06 DA 03 00 00 00 00 00 00 1A 02 80 00 00 00 00 01 00 00 00 00 00 00 00 00 00 54 52 50 09 01 08 01 B1 01 82 01 61 01 43 01 54 53 50 1D 01 13 11 00 15 05 15 00 00,0C 65 9B,0,1,1,1,5,1,1,1,0
40,3,0.00847384949692653,0.00899004946723057,02D,0,1,E,58 CD 35 04 C4 09 00 90 70 97 58 E2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 48 86 C5 2F 00 00 00 00 00 00 00 00 00 00,07 F6 6C,0,1,1,1,1,1,0,1,0
40,4,0.0103000493885084,0.0106762493672427,220,0,1,D,39 10 00 16 09 87 2F 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF 44 7B 24 A4 00 00 00 00 00 00,0B FD A0,0,1,1,1,5,1,0,1,0
40,5,0.0136222491912754,0.0141474491611639,212,0,1,E,39 04 0C 05 0E 0F F4 FF FF 39 15 01 14 44 BD 91 D9 F8 5F F5 FF FF FF FF FE 07 80 A0 28 01 FE FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,0C 32 84,0,1,1,1,3,1,0,1,0
40,6,0.0141536491597272,0.0144518491429735,227,0,1,C,39 04 22 08 00 3D 87 7E 78 0F FA FF 41 00 00 08 01 42 31 50 52 31 31 38,13 54 A7,0,1,1,1,0,0,0,1,0
40,7,0.0152498490946478,0.015758849065498,219,0,1,E,39 FE 0B 08 61 00 00 00 01 00 00 00 39 0E 00 20 19 19 49 13 A8 80 83 1A 3F F4 7F 95 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 45 FC 08 1C,14 E7 74,0,1,1,1,3,1,0,1,0
40,8,0.0170272489891268,0.0173992489681104,217,0,1,D,39 13 00 15 F1 95 2E 0C A0 5D 4D BF 6F 10 50 F0 FF FF FF FF FF 45 97 29 72 00 00 00 00 00 00 00,06 11 FC,0,1,1,1,2,0,0,1,0
40,9,0.0196592488328697,0.0200394488113666,219,0,1,D,39 0F 00 15 45 C7 49 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 45 15 C1 04 00 00 00 00 00 00 00,05 AD AB,0,1,1,1,2,0,0,1,0
40,10,0.0285074483075682,0.0290246482779316,02D,0,1,E,79 D6 36 04 C4 09 00 90 70 97 58 E2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 4A 80 47 79 00 00 00 00 00 00 00 00 00 00,0C 29 CC,0,1,1,1,2,0,0,1,0
40,11,0.0295246482471789,0.0300298482182547,219,0,1,E,39 0E 02 2A 3E 00 48 00 65 0A E8 01 1B B0 01 00 47 40 3E 49 E0 D1 6C C2 4D 85 DE 4D 8F 82 F8 47 CE 43 06 88 67 E9 FF FF FF FF 46 41 DC B0 00 00,07 88 63,0,1,1,1,7,1,0,1,0
40,12,0.0302758482025816,0.0306500481813159,220,0,1,D,39 10 00 16 19 DD 30 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF 46 1A E2 24 00 00 00 00 00 00,04 38 ED,0,1,1,1,3,1,0,1,0
40,13,0.0306562481799979,0.0313514481396751,18E19490,0,1,F,01 01 00 56 0D 70 01 80 0C ED 00 BC 02 06 06 00 00 00 00 40 1F 01 00 00 AC 0D 48 2B 01 20 03 00 00 01 AE 01 88 0C 00 00 02 02 B4 03 0B 33 D0 07 AC 0D 40 1F 0C 2A 19 54 13 11 00 15 05 15 00 00,06 69 20,0,1,1,1,6,0,1,1,0
40,14,0.0349192479269114,0.0352924479058238,219,0,1,D,39 0E 01 0F 90 35 FF FF FF FF FF FF FF 8F D3 08 BC FD FF 39 0E 03 08 15 DE A1 F8 FF FF FF FF 00,16 8B 6A,0,1,1,1,3,1,0,1,0
40,15,0.0380548477407565,0.038426047719669,217,0,1,D,39 13 00 15 13 85 2F 0C A0 5D 4D BF 6F 10 50 F0 FF FF FF FF FF 47 EC BB AF 00 00 00 00 00 00 00,08 CA D1,0,1,1,1,1,1,0,1,0
40,16,0.0384320477183628,0.0386202477081397,227,0,1,9,41 00 00 08 02 34 39 37 49 CC 1A F5,1 75 B6,0,1,1,1,7,1,0,1,0
40,17,0.0395882476497214,0.0402372476122601,219,0,1,F,39 0E 00 20 A5 74 4A 13 A8 80 83 1A 3F F4 7F 95 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 47 F6 50 24 39 0F 00 15 63 F6 4A 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 47 9E 98 76 00 00 00,0A 3A FC,0,1,1,1,7,1,0,1,0
40,18,0.0472218471965284,0.0474170471858897,217,0,1,9,39 FE 28 08 29 00 00 00 00 00 00 00,0 CC E2,0,1,1,1,6,0,0,1,0
40,19,0.0484090471260465,0.04892624709641,02D,0,1,E,66 DF 37 04 C4 09 00 90 70 97 58 E2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 4C 46 4D 6B 00 00 00 00 00 00 00 00 00 00,00 7B 28,0,1,1,1,2,0,0,1,0
40,20,0.0489324470949732,0.0491656470821972,212,0,1,A,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF,0 2F B8,0,1,1,1,4,0,0,1,0
40,21,0.049555647057975,0.0499218470371843,219,0,1,D,39 0E 04 10 5C E3 0B 4C 24 B4 DB FF 3F AE 6C 79 EB FF FF FF 39 0F 01 06 4D 85 04 60 F8 1C 00 00,09 7F 68,0,1,1,1,4,0,0,1,0
39,1,0.000529049968594819,0.000811049952921621,14420059,0,0,8,40 03 08 00 00 00 00 00,4C 17,0,1,1,1,,,1,,
39,2,0.00171504989818416,0.00237024986035476,219,0,1,F,39 0E 01 0F 90 35 FF FF FF FF FF FF FF 8F D3 08 BC FD FF 39 0E 00 20 E6 7C 13 14 A8 80 83 1A 3F F7 7F D5 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF D9 6B 78 F6 00 00 00 00 00 00 00 00 00,0F D0 F5,0,1,1,1,5,1,0,1,0
39,3,0.00370044978031459,0.00407364975910827,217,0,1,D,39 13 00 15 95 7D F8 09 A0 5D 8D D0 4F 10 38 F0 FF FF FF FF FF D9 D7 5C E4 00 00 00 00 00 00 00,0C AE 12,0,1,1,1,3,1,0,1,0
39,4,0.00645764961662465,0.00683784959500276,219,0,1,D,39 0F 00 15 94 07 13 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF D9 22 3C 92 00 00 00 00 00 00 00,14 69 7C,0,1,1,1,2,0,0,1,0
39,5,0.0068540495930911,0.00755824955223393,540,0,1,F,23 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,11 12 63,0,1,1,1,5,1,0,1,0
39,6,0.0151882490983049,0.015709449068312,02D,0,1,E,8C AD 00 04 C4 09 00 90 70 97 58 22 70 52 05 00 08 00 A0 FE FF FF 7F 08 02 D2 35 FF FF FF FF 00 FE FF DE DE 06 4B 00 00 00 00 00 00 00 00 00 00,14 5A 86,0,1,1,1,6,0,0,1,0
39,7,0.0157156490669941,0.0159486490542299,212,0,1,A,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF,0 2F B8,0,1,1,1,4,0,0,1,0
39,8,0.0169068489962747,0.0172838489749615,220,0,1,D,39 10 00 16 AC 08 FA 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF DA A6 60 D6 00 00 00 00 00 00,05 3D 57,0,1,1,1,6,0,0,1,0
39,9,0.0172900489735248,0.0179912489328457,18E19490,0,1,F,00 00 00 01 55 55 55 55 05 6D 06 DB 03 00 00 00 00 00 00 1A 02 7F 00 00 01 00 01 00 00 00 00 00 00 00 00 00 54 52 50 09 01 08 01 B2 01 82 01 62 01 43 01 54 53 50 2D 01 13 11 00 15 05 15 00 00,1E 78 F5,0,1,1,1,4,0,1,1,0
39,10,0.021709248711165,0.022225448681469,219,0,1,E,39 0E 00 20 0A 83 14 14 A8 80 83 1A 3F F7 7F D5 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF DB F6 72 A7 00 00 00 00 00 00 00 00 00 00 00 00,05 9C 5C,0,1,1,1,2,0,0,1,0
39,11,0.0237856485878929,0.0242928485587312,217,0,1,E,39 13 01 0B 58 AC 78 55 95 00 FE 03 BA FF EF 39 13 00 15 77 6D F9 09 A0 5D 8D D0 4F 10 38 F0 FF FF FF FF FF DB 21 E7 E6 00 00 00 00 00 00 00 00,13 8A 26,0,1,1,1,1,1,0,1,0
39,12,0.025222848502569,0.0254120484924051,227,0,1,9,39 06 0B 08 00 11 11 18 00 00 D0 FF,1 D9 7D,0,1,1,1,0,0,0,1,0
39,13,0.0264900484273376,0.0268702484057157,219,0,1,D,39 0F 00 15 3A 75 14 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF DB BE A1 E3 00 00 00 00 00 00 00,0D 9A 2A,0,1,1,1,2,0,0,1,0
39,14,0.0352022479101102,0.035724447880058,02D,0,1,E,93 A4 01 04 C4 09 00 90 70 97 58 22 70 52 05 00 08 00 A0 FE FF FF 7F 08 02 D2 35 FF FF FF FF 00 FE FF E0 4F 7A D6 00 00 00 00 00 00 00 00 00 00,1F 4B EC,0,1,1,1,7,1,0,1,0
39,15,0.0363882478396995,0.0365514478310793,540,0,1,8,24 00 00 00 00 00 00 00,1 D4 51,0,1,1,1,5,1,0,1,0
39,16,0.0369454478066196,0.0374566477773392,220,0,1,E,39 10 01 10 55 42 3F 00 53 10 C6 12 5D 9D 00 20 05 F0 FF F5 39 10 00 16 88 A0 FB 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF DC 46 D5 28 00 00,10 12 D9,0,1,1,1,4,0,0,1,0
39,17,0.0404386475992347,0.0409628475691825,227,0,1,E,00 80 00 04 A4 86 56 00 41 00 05 08 00 80 03 43 CF 50 E0 B3 05 00 00 0C F5 FC FF 00 00 00 00 00 E3 1C 60 57 00 00 00 00 00 00 00 00 00 00 00 00,1E 79 D1,0,1,1,1,2,0,0,1,0
39,18,0.0417888475190757,0.0423020474896766,219,0,1,E,39 0E 00 20 9E A7 15 14 A8 80 83 1A 3F F7 7F D5 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF DD 2B 74 61 00 00 00 00 00 00 00 00 00 00 00 00,05 F9 E8,0,1,1,1,7,1,0,1,0
39,19,0.0437262474040558,0.0440994473827308,217,0,1,D,39 13 00 15 81 06 FA 09 A0 5D CD D0 4F 10 38 F0 FF FF FF FF FF DD 18 AC 7E 00 00 00 00 00 00 00,1D 86 7A,1,1,1,0,5,1,0,1,0
39,20,0.0465094472388223,0.0468896472172005,219,0,1,D,39 0F 00 15 D8 65 15 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF DD E3 79 C0 00 00 00 00 00 00 00,11 DB 1F,0,1,1,1,2,0,0,1,0
39,21,0.0471596472002211,0.0478546471600289,18E19490,0,1,F,01 01 00 56 0D 70 01 80 0C ED 00 BC 02 06 06 00 00 00 00 40 1F 01 00 00 AC 0D 48 2B 01 20 03 00 00 01 AD 01 87 0C 00 00 02 02 B3 03 B9 32 D0 07 AC 0D 40 1F 0C 20 15 54 13 11 00 15 05 15 00 00,0C 54 0F,0,1,1,1,6,0,1,1,0
38,1,0.00217284987100541,0.00255404984932415,219,0,1,D,39 0F 00 15 D7 CF E5 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 7D E9 70 AE 00 00 00 00 00 00 00,02 03 8E,0,1,1,1,3,1,0,1,0
38,2,0.0027940498341259,0.00351224979243757,18E19490,0,1,F,04 03 00 02 00 03 00 7E 36 ED 0C 5C 0D 22 01 71 01 08 03 01 01 01 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,1C 21 A2,0,1,1,1,5,1,1,1,0
38,3,0.0109882493476512,0.0115064493179552,02D,0,1,E,AD F5 D2 04 C4 09 00 90 70 97 58 E2 6F 52 05 00 08 00 A0 FE FF FF 7F 08 02 D2 35 FF FF FF FF 00 FE FF 82 D9 DD 25 00 00 00 00 00 00 00 00 00 00,1A B2 AD,0,1,1,1,3,1,0,1,0
38,4,0.0119864492883899,0.012491649259347,219,0,1,E,39 0E 02 2A 3E 00 48 00 65 0A E8 01 1B B0 01 00 47 40 3E 49 E0 D1 6C C2 4D 85 DE 4D 8F 82 F8 47 CE 43 06 88 67 E9 FF FF FF FF 7E D6 B1 1E 00 00,07 31 05,0,1,1,1,7,1,0,1,0
38,5,0.0126516492488982,0.0130306492274663,220,0,1,D,39 10 00 16 09 AD CC 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF 7E 0D 5F A8 00 00 00 00 00 00,15 CC 77,0,1,1,1,0,0,0,1,0
38,6,0.0174306489651777,0.0178048489440307,219,0,1,D,39 0E 01 0F 88 35 FF FF FF FF FF FF FF 8F D3 08 BC FD FF 39 0E 03 08 D8 06 9F F8 FF FF FF FF 00,11 89 22,0,1,1,1,4,0,0,1,0
38,7,0.020413048788118,0.0207852487670898,217,0,1,D,39 13 00 15 15 37 CB 09 A0 5D CD D1 4F 10 38 F0 FF FF FF FF FF 7F 09 20 52 00 00 00 00 00 00 00,0B D7 6E,0,1,1,1,2,0,0,1,0
38,8,0.0208974487593601,0.0210864487492081,227,0,1,9,41 00 00 08 02 34 39 37 81 2F AA BC,0 3C 80,0,1,1,1,0,0,0,1,0
38,9,0.0220984486880589,0.0227506486504076,219,0,1,F,39 0E 00 20 7E BD E6 14 A8 80 83 1A 3F F7 7F D5 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 7F DB 23 3F 39 0F 00 15 F1 FE E6 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 7F 17 32 17 00 00 00,0A 7C 0E,0,1,1,1,2,0,0,1,0
38,10,0.0295692482445311,0.0297624482338923,217,0,1,9,39 FE 28 08 29 00 00 00 00 00 00 00,0 CC E2,1,1,1,0,6,0,0,1,0
38,11,0.0308924481659751,0.0314126481361605,02D,0,1,E,DB 8F D3 04 C4 09 00 90 70 97 58 22 70 52 05 00 08 00 A0 FE FF FF 7F 08 02 D2 35 FF FF FF FF 00 FE FF 84 47 58 5A 00 00 00 00 00 00 00 00 00 00,05 B6 0C,0,1,1,1,5,1,0,1,0
38,12,0.0314188481347237,0.031652048121829,212,0,1,A,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF,0 2F B8,0,1,1,1,4,0,0,1,0
38,13,0.0320660480963006,0.0324310480756999,219,0,1,D,39 0E 04 10 5C E3 0B 4C 24 B4 DB FF 3F AE 6C 79 EB FF FF FF 39 0F 01 06 4D 85 04 60 34 1D 00 00,1E 6D D1,0,1,1,1,3,1,0,1,0
38,14,0.0325770480659635,0.0329532480446978,220,0,1,D,39 10 00 16 2D 05 CD 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF 80 D3 D2 A4 00 00 00 00 00 00,1D 11 A2,0,1,1,1,5,1,0,1,0
