Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
40,1,3.49999975668425E-07,4.23499976009414E-05,,0,,,,,,0,0,0,,,1,,
40,2,0.00042554997473232,0.00112774993399388,18E19490,0,1,F,00 00 00 01 55 55 55 55 05 6C 06 DA 03 00 00 00 00 00 00 1A 02 80 00 00 00 00 01 00 00 00 00 00 00 00 00 00 54 52 50 09 01 08 01 B1 01 82 01 61 01 43 01 54 53 50 1D 01 13 11 00 15 05 15 00 00,0C 65 9B,0,1,1,1,5,1,1,1,0
40,3,0.00847374949692536,0.00898994946722941,02D,0,1,E,58 CD 35 04 C4 09 00 90 70 97 58 E2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 48 86 C5 2F 00 00 00 00 00 00 00 00 00 00,07 F6 6C,0,1,1,1,1,1,0,1,0
40,4,0.0102999493885072,0.0106761493672415,220,0,1,D,39 10 00 16 09 87 2F 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF 44 7B 24 A4 00 00 00 00 00 00,0B FD A0,0,1,1,1,5,1,0,1,0
40,5,0.0136221491912742,0.014147349161044,212,0,1,E,39 04 0C 05 0E 0F F4 FF FF 39 15 01 14 44 BD 91 D9 F8 5F F5 FF FF FF FF FE 07 80 A0 28 01 FE FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,0C 32 84,0,1,1,1,3,1,0,1,0
40,6,0.014153549159726,0.0144517491429723,227,0,1,C,39 04 22 08 00 3D 87 7E 78 0F FA FF 41 00 00 08 01 42 31 50 52 31 31 38,13 54 A7,0,1,1,1,0,0,0,1,0
40,7,0.0152497490946466,0.0157589490653662,219,0,1,E,39 FE 0B 08 61 00 00 00 01 00 00 00 39 0E 00 20 19 19 49 13 A8 80 83 1A 3F F4 7F 95 5C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 45 FC 08 1C,14 E7 74,0,1,1,1,3,1,0,1,0
40,8,0.0170271489891256,0.0173993489679787,217,0,1,D,39 13 00 15 F1 95 2E 0C A0 5D 4D BF 6F 10 50 F0 FF FF FF FF FF 45 97 29 72 00 00 00 00 00 00 00,06 11 FC,0,1,1,1,2,0,0,1,0
40,9,0.0196593488328567,0.0200395488112348,219,0,1,D,39 0F 00 15 45 C7 49 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 45 15 C1 04 00 00 00 00 00 00 00,05 AD AB,0,1,1,1,2,0,0,1,0
40,10,0.0285075483075552,0.0290247482777999,02D,0,1,E,79 D6 36 04 C4 09 00 90 70 97 58 E2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 4A 80 47 79 00 00 00 00 00 00 00 00 00 00,0C 29 CC,0,1,1,1,2,0,0,1,0
40,11,0.0295247482471659,0.0300297482182536,219,0,1,E,39 0E 02 2A 3E 00 48 00 65 0A E8 01 1B B0 01 00 47 40 3E 49 E0 D1 6C C2 4D 85 DE 4D 8F 82 F8 47 CE 43 06 88 67 E9 FF FF FF FF 46 41 DC B0 00 00,07 88 63,0,1,1,1,7,1,0,1,0
40,12,0.0302757482025804,0.0306499481813147,220,0,1,D,39 10 00 16 19 DD 30 8E 22 0A FA DC 58 35 28 00 00 00 00 00 FF FF 46 1A E2 24 00 00 00 00 00 00,04 38 ED,0,1,1,1,3,1,0,1,0
40,13,0.0306561481799967,0.0313513481396739,18E19490,0,1,F,01 01 00 56 0D 70 01 80 0C ED 00 BC 02 06 06 00 00 00 00 40 1F 01 00 00 AC 0D 48 2B 01 20 03 00 00 01 AE 01 88 0C 00 00 02 02 B4 03 0B 33 D0 07 AC 0D 40 1F 0C 2A 19 54 13 11 00 15 05 15 00 00,06 69 20,0,1,1,1,6,0,1,1,0
40,14,0.0349193479268983,0.035292547905692,219,0,1,D,39 0E 01 0F 90 35 FF FF FF FF FF FF FF 8F D3 08 BC FD FF 39 0E 03 08 15 DE A1 F8 FF FF FF FF 00,16 8B 6A,0,1,1,1,3,1,0,1,0
40,15,0.0380547477407553,0.0384259477196678,217,0,1,D,39 13 00 15 13 85 2F 0C A0 5D 4D BF 6F 10 50 F0 FF FF FF FF FF 47 EC BB AF 00 00 00 00 00 00 00,08 CA D1,0,1,1,1,1,1,0,1,0
