Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
19,1,0.00102979993886265,0.00168299990103325,219,0,1,F,39 0E 01 0F C0 35 FF FF FF FF FF FF FF DF D3 08 BC FD FF 39 0E 00 20 D5 33 D7 20 68 81 83 1A 3F 26 80 55 68 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 61 A9 7F 54 00 00 00 00 00 00 00 00 00,10 88 8E,0,1,1,1,3,1,0,1,0
19,2,0.00571509966070494,0.00609429963914242,219,0,1,D,39 0F 00 15 10 CC D7 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 62 9F 6C 31 00 00 00 00 00 00 00,1E 10 D6,0,1,1,1,1,1,0,1,0
19,3,0.00653229961218926,0.00690939959087015,220,0,1,D,39 10 00 16 7B 48 BB 0E 9A 01 00 23 98 35 2C 00 00 00 00 00 FF FF 60 D8 04 DE 00 00 00 00 00 00,12 9E 2E,0,1,1,1,6,0,0,1,0
19,4,0.00691559958943344,0.00760279954970426,18E19490,0,1,F,03 68 06 C7 16 61 D2 11 0E 12 0E 1D 00 02 01 E1 00 00 00 02 01 02 01 00 00 EF 01 EF 01 00 00 00 00 05 02 01 10 00 AC 0D 0D 0E 0D 0E 1E 00 94 D7 05 64 16 D1 0C 84 1C 00 13 11 00 15 05 15 00 00,1C D0 D3,0,1,1,1,6,0,1,1,0
19,5,0.0183775989089554,0.0187457988880459,217,0,1,D,39 13 00 15 3D 0C BB 0A A0 69 4D D1 0F 12 38 F0 FF FF FF FF FF 63 5C D4 6C 00 00 00 00 00 00 00,03 16 B7,0,1,1,1,6,0,0,1,0
19,6,0.0187517988867398,0.0192679988571626,02D,0,1,E,66 05 C4 04 C4 09 00 90 70 97 58 62 46 52 75 2B 88 E0 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 67 E0 C0 85 00 00 00 00 00 00 00 00 00 00,08 42 BD,0,1,1,1,1,1,0,1,0
19,7,0.0210039987530308,0.0215201987233349,219,0,1,E,39 0E 00 20 05 AB D8 20 68 81 83 1A 3F 26 80 95 68 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 64 8F 7C 0E 00 00 00 00 00 00 00 00 00 00 00 00,02 C1 E2,0,1,1,1,2,0,0,1,0
19,8,0.0257122984735076,0.0260923984520104,219,0,1,D,39 0F 00 15 AE 39 D8 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 64 6B 78 A0 00 00 00 00 00 00 00,18 6F 69,0,1,1,1,2,0,0,1,0
19,9,0.0264763984281444,0.0268555984067006,220,0,1,D,39 10 00 16 E4 20 BC 0E 9A 01 00 23 98 35 2C 00 00 00 00 00 FF FF 63 14 00 0F 00 00 00 00 00 00,1A EF 2E,0,1,1,1,0,0,0,1,0
19,10,0.0365379978308056,0.03725309778942,18E19490,0,1,F,04 55 01 55 01 0E 00 3E 30 ED 0C 6E 0D 22 01 7D 01 08 03 01 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,1D 40 16,0,1,1,1,2,0,1,1,0
