Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
54,1,0.00109909993474844,0.00147129991360149,217,0,1,D,39 13 00 15 C2 E7 4F 13 A0 5A 8D 9A 0F 12 80 F0 FF FF FF FF FF 85 6B C6 0C 00 00 00 00 00 00 00,0B 7A F9,0,1,1,1,2,0,0,1,0
54,2,0.00275729983630413,0.00313449981497908,220,0,1,D,39 10 00 16 9C 60 51 0E 9A 21 00 23 58 35 2C 00 00 00 00 00 FF FF 83 22 1C 09 00 00 00 00 00 00,08 32 2E,0,1,1,1,6,0,0,1,0
54,3,0.00314069981354237,0.00383789977310077,18E19490,0,1,F,02 84 00 64 64 64 01 00 06 27 53 02 01 00 00 00 00 00 00 00 00 01 05 01 BE 04 C0 04 C4 04 02 00 FE FF 00 00 4B 14 C5 05 72 05 85 13 00 00 03 02 81 08 80 0C 82 0F ED 0B 13 11 00 15 05 15 00 00,1B C3 47,0,1,1,1,0,0,1,1,0
54,4,0.00564379966493789,0.00615999963536066,219,0,1,E,39 0E 00 20 D8 1F 69 10 78 80 83 1A 3F 1E 80 95 59 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 85 FB DA EB 00 00 00 00 00 00 00 00 00 00 00 00,08 93 AA,0,1,1,1,2,0,0,1,0
54,5,0.0102060993940825,0.0105882993723418,219,0,1,D,39 0F 00 15 47 FB 69 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 85 D0 AB C1 00 00 00 00 00 00 00,18 F4 E0,0,1,1,1,4,0,0,1,0
54,6,0.0144162991441306,0.0149304991145533,02D,0,1,E,85 04 56 04 C4 09 00 90 70 97 58 62 46 52 55 2C A8 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 89 16 62 B0 00 00 00 00 00 00 00 00 00 00,11 97 7A,0,1,1,1,7,1,0,1,0
54,7,0.0149366991132354,0.0150900991049594,212,0,1,8,39 04 06 04 20 3D E0 84,0 76 1A,0,1,1,1,6,0,0,1,0
54,8,0.0209703987550256,0.0213425987338786,217,0,1,D,39 13 00 15 0D E3 50 13 A0 5A 4D 9A 0F 12 80 F0 FF FF FF FF FF 87 8E 95 79 00 00 00 00 00 00 00,16 FE 2F,0,1,1,1,2,0,0,1,0
54,9,0.0227485986494571,0.0231247986280727,220,0,1,D,39 10 00 16 D1 88 52 0E 9A 21 00 23 58 35 2C 00 00 00 00 00 FF FF 86 81 43 4D 00 00 00 00 00 00,08 24 E4,0,1,1,1,5,1,0,1,0
54,10,0.0256307984783462,0.0261448984488936,219,0,1,E,39 0E 00 20 64 72 6A 10 78 80 83 1A 3F 1E 80 95 59 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 87 52 E7 CA 00 00 00 00 00 00 00 00 00 00 00 00,13 92 69,0,1,1,1,0,0,0,1,0
54,11,0.0287449982934618,0.0288532982878633,068,0,0,1,04,37 77,0,1,1,1,,,0,,
54,12,0.0302610982034537,0.0306422981817724,219,0,1,D,39 0F 00 15 61 CA 6A 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 87 D1 92 8D 00 00 00 00 00 00 00,1D AB F7,0,1,1,1,3,1,0,1,0
54,13,0.0329462980440383,0.0336364980040122,18E19490,0,1,F,03 68 06 B8 16 5C D2 10 0E 12 0E 16 00 01 01 EB 00 00 00 02 01 02 01 00 00 EF 01 EF 01 00 00 00 00 04 02 D8 0F 00 AC 0D 0F 0E 0F 0E 16 00 94 DA 05 6D 16 DB 0C 84 1C 00 13 11 00 15 05 15 00 00,08 C3 CB,0,1,1,1,1,1,1,1,0
54,14,0.0344104979571114,0.0349296979272373,212,0,1,E,39 04 0C 05 0E 0F F4 FF FF 39 0C 16 08 FF FF FF FF FF FF FF FF 39 15 01 14 44 F9 91 E5 F8 5F F5 FF FF FF FF FE 07 00 A0 28 75 FE FF FF 00 00 00,0D A5 1D,0,1,1,1,5,1,0,1,0
54,15,0.0349358979259193,0.0354499978964668,02D,0,1,E,9A 0D 57 04 C4 09 00 90 70 97 58 62 46 52 55 2C A8 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 8B 34 86 54 00 00 00 00 00 00 00 00 00 00,14 DE A2,0,1,1,1,7,1,0,1,0
54,16,0.0354561978950301,0.0361013978576756,212,0,1,F,39 0C 08 3C FE 74 03 80 00 00 08 6C 35 BC 31 83 FF 33 02 5A 70 F8 C4 01 A8 2C E0 7C 8F B3 04 00 00 9E 05 3C 40 0B 5A D0 82 16 B4 A0 05 2D 68 DB 08 6B FE 7F A9 E6 00 FF C9 FF FF FF 83 3E E4 FF,1E 72 92,0,1,1,1,3,1,0,1,0
54,17,0.0397235976416823,0.0399127976313998,227,0,1,9,39 04 22 08 00 3D 86 7E 78 0F FA FF,1 83 E9,0,1,1,1,0,0,0,1,0
54,18,0.0416909975248814,0.0420621975037938,217,0,1,D,39 13 00 15 4A AA 51 13 A0 5A 0D 9B 0F 12 80 F0 FF FF FF FF FF 89 EA 5F 6A 00 00 00 00 00 00 00,14 76 3F,0,1,1,1,1,1,0,1,0
54,19,0.0428401974566555,0.0432153974353304,220,0,1,D,39 10 00 16 C0 8D 53 0E 9A 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 88 8E FF 6C 00 00 00 00 00 00,1A AA B8,0,1,1,1,4,0,0,1,0
54,20,0.0456292972910717,0.0461464972613164,219,0,1,E,39 0E 00 20 F0 56 6B 10 78 80 83 1A 3F 1E 80 95 59 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 89 F0 13 51 00 00 00 00 00 00 00 00 00 00 00 00,0D 1A EB,0,1,1,1,3,1,0,1,0
53,1,0.00188379988816223,0.00239499985864437,219,0,1,E,39 0E 00 20 4E DE 43 10 78 80 83 1A 3F 1D 80 95 59 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 3A 5C B9 CD 00 00 00 00 00 00 00 00 00 00 00 00,19 2C C2,1,1,1,0,7,1,0,1,0
53,2,0.00644109961760364,0.00681919959622516,219,0,1,D,39 0F 00 15 91 61 43 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 3A 5C 2E F4 00 00 00 00 00 00 00,0E 8F 5E,0,1,1,1,0,0,0,1,0
53,3,0.00907529946121599,0.00977149942083376,18E19490,0,1,F,02 84 00 64 64 64 01 00 04 27 54 02 03 00 00 00 00 00 00 00 00 01 05 01 BD 04 C0 04 C3 04 01 00 FE FF 00 00 4D 14 BA 05 71 05 87 13 00 00 04 02 81 08 80 0C 82 0F ED 0B 13 11 00 15 05 15 00 00,0B 5E AE,0,1,1,1,7,1,1,1,0
53,4,0.0106394993683523,0.0111536993387751,02D,0,1,E,84 66 30 04 C4 09 00 90 70 97 58 62 46 52 55 2C A8 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 3E 15 A4 8F 00 00 00 00 00 00 00 00 00 00,18 47 98,0,1,1,1,7,1,0,1,0
53,5,0.0111598993374571,0.0113189993290802,079,0,1,8,20 57 07 A0 00 49 A3 B4,1 FB 51,0,1,1,1,0,0,0,1,0
53,6,0.0113251993276435,0.0115583993147488,212,0,1,A,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF,0 2F B8,0,1,1,1,4,0,0,1,0
53,7,0.0171628989810699,0.0176709989519736,217,0,1,E,39 13 01 0B 55 BA 38 55 95 00 FE 03 BA FF EF 39 13 00 15 02 BC 2A 13 A0 5A CD 96 0F 12 80 F0 FF FF FF FF FF 3B A5 83 86 00 00 00 00 00 00 00 00,15 30 45,0,1,1,1,2,0,0,1,0
53,8,0.0190130988712269,0.0195231988420118,220,0,1,E,39 10 01 10 55 41 41 00 4F 10 A9 02 E8 9C 12 20 95 C0 FF F1 39 10 00 16 D9 B0 2C 0E 9A 21 00 23 58 35 2C 00 00 00 00 00 FF FF 3A DD 5E 43 00 00,14 84 C2,0,1,1,1,3,1,0,1,0
53,9,0.0218791987010718,0.022533398663183,219,0,1,F,39 0E 01 0F 84 35 FF FF FF FF FF FF FF 4F D3 08 BC FD FF 39 0E 00 20 99 4F 44 10 78 80 83 1A 3F 1E 80 95 59 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 3C 9C A3 84 00 00 00 00 00 00 00 00 00,08 6C 8E,0,1,1,1,4,0,0,1,0
53,10,0.0264414984302164,0.0268215984087191,219,0,1,D,39 0F 00 15 3F 13 44 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 3C 9C 02 B4 00 00 00 00 00 00 00,1C 8E 0D,0,1,1,1,2,0,0,1,0
53,11,0.0305976981834704,0.0311107981540772,02D,0,1,E,9B 6F 31 04 C4 09 00 90 70 97 58 62 46 52 55 2C A8 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 40 F4 AF 67 00 00 00 00 00 00 00 00 00 00,15 84 3B,0,1,1,1,6,0,0,1,0
53,12,0.0311169981526405,0.0314133981358749,227,0,1,C,39 06 0B 08 00 11 11 18 00 00 D0 FF 41 00 05 08 00 80 03 43 CE C7 3F 55,17 48 1B,0,1,1,1,0,0,0,1,0
53,13,0.0371556977941339,0.0375258977731057,217,0,1,D,39 13 00 15 45 F5 2B 13 A0 5A 8D 97 0F 12 80 F0 FF FF FF FF FF 3D 5C D1 64 00 00 00 00 00 00 00,08 16 4E,0,1,1,1,0,0,0,1,0
53,14,0.0389638976867843,0.0393409976654652,220,0,1,D,39 10 00 16 FD 18 2D 0E 9A 21 00 23 58 35 2C 00 00 00 00 00 FF FF 3C 98 A5 F7 00 00 00 00 00 00,18 FD 9D,0,1,1,1,6,0,0,1,0
53,15,0.0393471976640285,0.0400353976241212,18E19490,0,1,F,03 68 06 BA 16 38 D2 10 0E 10 0E 16 00 F2 00 FA 00 00 00 02 01 02 01 00 00 EF 01 EF 01 00 00 00 00 04 02 D8 0F 00 AC 0D 0E 0E 0C 0E 16 00 94 D9 05 6F 16 D5 0C 84 1C 00 13 11 00 15 05 15 00 00,05 6E 05,0,1,1,1,7,1,1,1,0
