Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.00405929975900676,0.0045784997291327,02D,0,1,E,C4 30 AD 05 C4 09 00 90 70 97 58 A2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 81 FA 86 CE 00 00 00 00 00 00 00 00 00 00,0F C8 28,0,1,1,1,4,0,0,1,0
64,2,0.00458469972781472,0.00473779971979408,212,0,1,8,39 04 06 04 59 0C 8A 84,0 C0 47,0,1,1,1,4,0,0,1,0
64,3,0.00516179969355335,0.00553699967234704,220,0,1,D,39 10 00 16 87 52 BA AE 22 0A FA DC 38 35 28 00 00 00 00 00 FF FF 7C 98 F5 76 00 00 00 00 00 00,11 93 DA,0,1,1,1,4,0,0,1,0
64,4,0.00802299952368912,0.0085380994941772,219,0,1,E,39 0E 00 20 19 D3 AA 0B 28 80 83 1A 3F F7 7F D5 54 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 7C FD 46 6D 00 00 00 00 00 00 00 00 00 00 00 00,04 43 24,0,1,1,1,1,1,0,1,0
64,5,0.013168299218222,0.0135473991967842,219,0,1,D,39 0F 00 15 8F 52 AB 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 7D BA BB BA 00 00 00 00 00 00 00,09 06 9F,0,1,1,1,1,1,0,1,0
64,6,0.0148275991197124,0.0151997990986842,217,0,1,D,39 13 00 15 A1 BA AD 09 A0 55 0D D2 6F 10 38 F0 FF FF FF FF FF 7D 85 3E 01 00 00 00 00 00 00 00,12 DA 79,0,1,1,1,2,0,0,1,0
64,7,0.0189238988765226,0.0191109988664834,227,0,1,9,41 00 05 08 01 76 37 CB 12 70 8D 1B,0 27 F8,0,1,1,1,6,0,0,1,0
64,8,0.0240492985722369,0.0245683985423688,02D,0,1,E,E5 2B AE 05 C4 09 00 90 70 97 58 A2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 83 4B F9 07 00 00 00 00 00 00 00 00 00 00,19 07 25,0,1,1,1,4,0,0,1,0
64,9,0.0251803985050856,0.0255585984835824,220,0,1,D,39 10 00 16 A3 FA BB AE 22 0A FA DC 38 35 28 00 00 00 00 00 FF FF 7E 40 FF 4A 00 00 00 00 00 00,13 C0 35,0,1,1,1,7,1,0,1,0
64,10,0.0255647984822645,0.0262679984414666,18E19490,0,1,F,00 00 00 A5 55 55 55 55 05 00 00 00 00 00 00 00 00 00 00 1A 5A 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 51 50 4F 01 01 01 01 97 01 6E 01 4E 01 37 01 52 52 4F 13 01 13 11 00 15 05 15 00 00,0C 65 A2,0,1,1,1,6,0,1,1,0
64,11,0.0279879983384035,0.0285030983088916,219,0,1,E,39 0E 00 20 8D F7 AB 0B 28 80 83 1A 3F F7 7F D5 54 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 7F CD FB 32 00 00 00 00 00 00 00 00 00 00 00 00,1A E8 2E,0,1,1,1,1,1,0,1,0
64,12,0.0289750982798012,0.0292754982627981,212,0,1,C,39 FE 1D 08 59 40 62 01 40 02 00 00 39 04 0C 05 0E 0F F4 FF FF 00 00 00,1D C5 49,0,1,1,1,4,0,0,1,0
64,13,0.029283498261492,0.0294735982512747,227,0,1,9,39 04 22 08 00 3C 06 7E 78 0F FA FF,0 A6 ED,0,1,1,1,1,1,0,1,0
64,14,0.0331915980294752,0.0335736980078593,219,0,1,D,39 0F 00 15 21 20 AC 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 80 1A 1D 57 00 00 00 00 00 00 00,0C A6 72,0,1,1,1,4,0,0,1,0
64,15,0.0339517979843436,0.0341098979760261,227,0,1,8,00 80 00 04 0B BE B3 00,0 D8 9E,0,1,1,1,1,1,0,1,0
64,16,0.0348080979335066,0.0353152979044637,217,0,1,E,39 13 00 15 27 3E AE 09 A0 55 8D D2 6F 10 38 F0 FF FF FF FF FF 80 5A A6 7A 39 13 01 0B 58 AE 48 55 95 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,1C D5 69,0,1,1,1,1,1,0,1,0
64,17,0.0442233973745374,0.0443334973690696,068,0,0,1,04,37 77,0,1,1,1,,,0,,
64,18,0.0446277973505289,0.0451448973207795,02D,0,1,E,FA 22 AF 05 C4 09 00 90 70 97 58 A2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 85 38 5B 25 00 00 00 00 00 00 00 00 00 00,1C A0 EB,0,1,1,1,2,0,0,1,0
64,19,0.0451510973194615,0.0454331973037824,14420059,0,0,8,40 03 08 00 00 00 00 00,4C 17,0,1,1,1,,,1,,
64,20,0.0454392973023516,0.0458154972809672,220,0,1,D,39 10 00 16 3C 92 BC AE 22 0A FA DC 38 35 28 00 00 00 00 00 FF FF 80 94 5E FF 00 00 00 00 00 00,10 AA 34,0,1,1,1,5,1,0,1,0
64,21,0.0480533971471573,0.0487075971092685,219,0,1,F,39 0E 01 0F 70 35 FF FF FF FF FF FF FF 3F D3 08 BC FD FF 39 0E 00 20 61 08 AC 0B 28 80 83 1A 3F F7 7F D5 54 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 81 34 53 7F 00 00 00 00 00 00 00 00 00,14 B7 3F,0,1,1,1,4,0,0,1,0
64,22,0.0493015970730539,0.0494896970629554,227,0,1,9,02 80 00 08 CE 19 43 01 83 33 18 83,0 F0 2D,0,1,1,1,7,1,0,1,0
63,1,0.00090529994625399,0.0014194999167955,219,0,1,E,39 0E 00 20 3A 72 86 0B 28 80 83 1A 3F F6 7F D5 54 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 35 A1 60 52 00 00 00 00 00 00 00 00 00 00 00 00,06 A0 CB,0,1,1,1,0,0,0,1,0
63,2,0.00607959963906524,0.00645779961756208,219,0,1,D,39 0F 00 15 15 AA 87 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 36 EE 39 A4 00 00 00 00 00 00 00,05 7D 94,0,1,1,1,0,0,0,1,0
63,3,0.00768799954357746,0.00806019952243052,217,0,1,D,39 13 00 15 C1 C3 89 09 A0 55 0D D0 6F 10 38 F0 FF FF FF FF FF 36 44 10 8C 00 00 00 00 00 00 00,08 E6 0B,0,1,1,1,2,0,0,1,0
63,4,0.0118582992959944,0.0120463992858958,227,0,1,9,41 00 05 08 00 80 03 43 CE 3C 39 78,1 46 57,0,1,1,1,7,1,0,1,0
63,5,0.0169665989927239,0.0174857989628498,02D,0,1,E,58 3C 8A 05 C4 09 00 90 70 97 58 A2 6F 52 05 00 08 00 A0 FE FF FF 7F 0C 02 D2 35 FF FF FF FF 00 FE FF 3B 1E D0 C6 00 00 00 00 00 00 00 00 00 00,1D 3E 90,0,1,1,1,4,0,0,1,0
63,6,0.0174919989615319,0.0176470989533925,212,0,1,8,39 04 06 04 2E FF 83 84,1 5A F5,0,1,1,1,6,0,0,1,0
63,7,0.0180311989295205,0.0184073989081361,220,0,1,D,39 10 00 16 E0 2D 97 AE 22 0A FA DC 38 35 28 00 00 00 00 00 FF FF 36 4F 4E 41 00 00 00 00 00 00,12 C2 33,0,1,1,1,5,1,0,1,0
63,8,0.0184134989068241,0.0191076988665606,18E19490,0,1,F,01 01 00 4E 0D 5B 01 80 0C F1 00 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 3F 2B 01 20 03 00 00 02 AB 01 2A 12 00 00 02 02 B6 03 13 33 00 00 AC 0D 40 1F 0C 22 1B 52 13 11 00 15 05 15 00 00,1A A3 5E,0,1,1,1,5,1,1,1,0
63,9,0.0209336987572044,0.0214477987277518,219,0,1,E,39 0E 00 20 58 83 87 0B 28 80 83 1A 3F F7 7F D5 54 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 37 D5 D7 50 00 00 00 00 00 00 00 00 00 00 00 00,1B 3A 1D,0,1,1,1,0,0,0,1,0
