Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.000623699962972069,0.00113779993351952,02D,0,1,E,4F B9 D8 04 C4 09 00 90 70 97 58 62 46 52 A5 2B D8 E0 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 8F B4 91 13 00 00 00 00 00 00 00 00 00 00,0E 98 17,0,1,1,1,7,1,0,1,0
64,2,0.00114379993209468,0.00152099991076963,220,0,1,D,39 10 00 16 20 24 CE 0E 9A 01 00 23 A8 35 2C 00 00 00 00 00 FF FF 89 72 AF 12 00 00 00 00 00 00,1C F9 D2,0,1,1,1,6,0,0,1,0
64,3,0.00152719990933292,0.002214399869485,18E19490,0,1,F,00 00 00 01 55 55 55 55 05 68 06 D8 03 00 00 EF 01 67 01 3B 02 8D 00 00 83 01 91 01 00 00 F9 08 EB 08 00 00 56 54 52 11 01 12 01 D0 01 9D 01 78 01 57 01 56 54 51 3F 03 13 11 00 15 05 15 00 00,14 EA 6D,0,1,1,1,6,0,1,1,0
64,4,0.00231239986271703,0.00268449984169476,219,0,1,D,39 0E 01 0F DC 35 FF FF FF FF FF FF FF 0F D4 08 BC FD FF 39 0E 03 08 66 4E 9A F8 FF FF FF FF 00,0D 21 6F,0,1,1,1,2,0,0,1,0
64,5,0.00319269981045522,0.00356189978948638,217,0,1,D,39 13 00 15 8C 51 CE 0D A0 6D CD BD 0F 12 50 F0 FF FF FF FF FF 8C D2 7A DE 00 00 00 00 00 00 00,0E BE F2,0,1,1,1,7,1,0,1,0
64,6,0.00582789965400821,0.00601509964384438,227,0,1,9,41 00 00 08 02 34 39 37 8D D1 0F 23,0 0E 47,0,1,1,1,6,0,0,1,0
64,7,0.00699309958483241,0.00764019954748389,219,0,1,F,39 0E 00 20 4E C4 EC 24 B8 81 83 1A 3F 23 80 95 6C 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 8C 2D 8D 04 39 0F 00 15 25 58 EC 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 8C A5 28 47 00 00 00,06 7C D7,0,1,1,1,5,1,0,1,0
64,8,0.0159182990549596,0.0162174990381465,227,0,1,C,41 00 01 08 01 1B 96 52 8D 8A 18 D6 41 00 00 08 03 55 94 6F DB 00 00 00,16 5F 2A,0,1,1,1,1,1,0,1,0
64,9,0.0171074989843589,0.0174725989637522,219,0,1,D,39 0E 04 10 5C E3 0B 4C 24 B4 DB FF 4F AE 6C 7D EB FF FF FF 39 0F 01 06 4D 85 04 60 BC 23 00 00,05 CB 8D,0,1,1,1,3,1,0,1,0
64,10,0.0176347989530541,0.0179208989371375,14420061,0,0,8,40 02 00 00 00 00 00 00,0F A5,0,1,1,1,,,1,,
64,11,0.0205129987821806,0.0210260987526687,02D,0,1,E,50 B0 D9 04 C4 09 00 90 70 97 58 62 46 52 A5 2B D8 E0 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 91 BD F7 85 00 00 00 00 00 00 00 00 00 00,14 11 9C,0,1,1,1,6,0,0,1,0
