Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.0020663998773216,0.00257659984810058,217,0,1,E,39 13 01 0B 59 BA 38 55 95 00 FE 03 BA FF EF 39 13 00 15 1E FC 42 0B A0 78 0D CA 0F 12 48 F0 FF FF FF FF FF 78 8C C5 F0 00 00 00 00 00 00 00 00,0A 8B 1B,0,1,1,1,4,0,0,1,0
64,2,0.00362059978505158,0.00399879976366717,220,0,1,D,39 10 00 16 E7 DD 41 0E A2 01 00 23 D4 35 2C 00 00 00 00 00 FF FF 77 67 5F 48 00 00 00 00 00 00,1B 3B 43,0,1,1,1,7,1,0,1,0
64,3,0.00400499976223045,0.00469819972202633,18E19490,0,1,F,02 84 00 64 64 64 01 00 04 27 55 02 03 00 00 00 00 00 00 00 1B 01 1D 01 BF 04 C0 04 C2 04 02 00 FE FF 00 00 4D 14 C8 05 74 05 7F 13 00 00 0A 02 74 08 80 0C 97 0F ED 0B 13 11 00 15 05 15 00 00,16 D7 C8,0,1,1,1,4,0,1,1,0
64,4,0.00470419972072023,0.00500939970355095,227,0,1,C,00 80 00 04 48 43 D7 02 05 00 00 0C F5 FC FF 00 00 00 00 00 7F 5B 54 86,0E 08 CA,0,1,1,1,7,1,0,1,0
64,5,0.00923159945193675,0.00974669942242483,02D,0,1,E,DF 23 4F 04 C4 09 00 90 70 97 58 62 46 52 55 2B 78 E1 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 7D AA 7C 74 00 00 00 00 00 00 00 00 00 00,0E 33 75,0,1,1,1,0,0,0,1,0
64,6,0.00975289942098811,0.0099090994126647,079,0,1,8,28 6D 09 00 07 95 DA D3,1 52 EF,0,1,1,1,5,1,0,1,0
64,7,0.0140569991654615,0.0145701991360624,219,0,1,E,39 0E 00 20 36 C2 98 2E 78 82 83 1A 3F 26 80 55 77 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 7A 1A 0A D2 00 00 00 00 00 00 00 00 00 00 00 00,01 8D 1A,0,1,1,1,7,1,0,1,0
64,8,0.0191062988656938,0.019485398844256,219,0,1,D,39 0F 00 15 48 51 99 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 7B C8 23 CB 00 00 00 00 00 00 00,16 E2 3E,0,1,1,1,1,1,0,1,0
64,9,0.021969698695699,0.0223378986747895,217,0,1,D,39 13 00 15 B3 B3 43 0B A0 78 4D C9 0F 12 48 F0 FF FF FF FF FF 7A F6 45 17 00 00 00 00 00 00 00,03 14 23,0,1,1,1,6,0,0,1,0
64,10,0.0236218985976109,0.0239980985762265,220,0,1,D,39 10 00 16 AA 35 42 0E A2 01 00 23 D4 35 2C 00 00 00 00 00 FF FF 79 DF 26 C9 00 00 00 00 00 00,05 3A 83,0,1,1,1,5,1,0,1,0
64,11,0.0292761982619254,0.0297902982324728,02D,0,1,E,8A C5 50 04 C4 09 00 90 70 97 58 62 46 52 55 2B 78 E1 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 7F BF C5 A0 00 00 00 00 00 00 00 00 00 00,02 86 EF,0,1,1,1,7,1,0,1,0
64,12,0.0297964982310361,0.0299506982228314,212,0,1,8,39 04 06 04 05 4F 12 84,1 F2 B5,0,1,1,1,5,1,0,1,0
64,13,0.033632798003282,0.03432189796344,18E19490,0,1,F,03 68 06 CB 16 5D D2 10 0E 10 0E 1E 00 F5 00 F3 00 00 00 04 01 04 01 00 00 EF 01 EF 01 00 00 00 00 09 02 0D 10 00 AC 0D 0E 0E 0F 0E 1E 00 94 DA 05 57 16 D2 0C 84 1C 00 13 11 00 15 05 15 00 00,05 4F D6,0,1,1,1,0,0,1,1,0
64,14,0.0343278979620152,0.0348410979324973,219,0,1,E,39 0E 00 20 D0 04 99 2E 78 82 83 1A 3F 26 80 95 77 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 7C 9B 34 58 00 00 00 00 00 00 00 00 00 00 00 00,18 51 1D,0,1,1,1,7,1,0,1,0
64,15,0.0391051976783956,0.039486297656839,219,0,1,D,39 0F 00 15 6E 60 9A 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 7D 92 39 81 00 00 00 00 00 00 00,1D 0B 87,0,1,1,1,3,1,0,1,0
64,16,0.0394923976554082,0.0396814976452504,227,0,1,9,41 00 05 08 00 80 03 43 D1 99 7F C6,1 55 96,0,1,1,1,0,0,0,1,0
64,17,0.0420818975016743,0.0424559974805334,217,0,1,D,39 13 00 15 18 2D 44 0B A0 78 8D C8 0F 12 48 F0 FF FF FF FF FF 7C 3A FD 0A 00 00 00 00 00 00 00,1A FC F3,0,1,1,1,4,0,0,1,0
64,18,0.0437600974020427,0.0441351973808423,220,0,1,D,39 10 00 16 8E 9D 43 0E A2 01 00 23 D4 35 2C 00 00 00 00 00 FF FF 7B AD 94 82 00 00 00 00 00 00,1F 99 9D,0,1,1,1,4,0,0,1,0
64,19,0.0492572970756839,0.0497713970462314,02D,0,1,E,D2 2D 51 04 C4 09 00 90 70 97 58 62 46 52 55 2B 88 E1 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 81 23 8F B8 00 00 00 00 00 00 00 00 00 00,11 44 EB,0,1,1,1,7,1,0,1,0
63,1,0.00121419992791516,0.00158439990688695,217,0,1,D,39 13 00 15 4D 5B 27 0B A0 78 8D C9 0F 12 48 F0 FF FF FF FF FF 41 93 E2 B1 00 00 00 00 00 00 00,1B 58 49,0,1,1,1,0,0,0,1,0
