Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.0011374999324687,0.00151669991090618,219,0,1,D,39 0F 00 15 4B 73 A9 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 00 F6 45 75 00 00 00 00 00 00 00,14 C8 9F,0,1,1,1,1,1,0,1,0
64,2,0.00198269988229072,0.0023588998609063,220,0,1,D,39 10 00 16 06 5C A7 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 01 4F D3 14 00 00 00 00 00 00,06 6A 7F,0,1,1,1,5,1,0,1,0
64,3,0.00236499985959426,0.00305719981956824,18E19490,0,1,F,00 00 00 01 55 55 55 55 05 68 06 D8 03 00 00 EF 01 65 01 3B 02 8D 00 00 8A 01 95 01 00 00 02 09 F6 08 00 00 53 52 4F FC 00 FC 00 AE 01 7D 01 5A 01 37 01 53 53 4D 43 03 13 11 00 15 05 15 00 00,00 02 31,0,1,1,1,3,1,1,1,0
64,4,0.00582719965404976,0.00634139962459128,02D,0,1,E,A5 34 CA 04 C4 09 00 90 70 97 58 62 46 52 C5 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 06 17 F4 9D 00 00 00 00 00 00 00 00 00 00,08 0A C0,0,1,1,1,7,1,0,1,0
64,5,0.0104975993767766,0.0106867993664941,227,0,1,9,41 00 05 08 01 61 6A 03 FF 79 8F 6F,1 EB 5C,0,1,1,1,0,0,0,1,0
64,6,0.011246799332298,0.0119508992915655,540,0,1,F,22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,07 AA FF,0,1,1,1,5,1,0,1,0
64,7,0.0163309990304583,0.0168461990008217,219,0,1,E,39 0E 00 20 CC 9B AA 0F 78 80 83 1A 3F 25 80 D5 58 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 03 F3 DE 76 00 00 00 00 00 00 00 00 00 00 00 00,0D 2D 44,0,1,1,1,1,1,0,1,0
64,8,0.0168522989995097,0.017359498970348,217,0,1,E,39 13 01 0B 58 BA 78 55 95 00 FE 03 BA FF EF 39 13 00 15 88 CD A8 0C A0 59 8D C3 0F 12 48 F0 FF FF FF FF FF 02 3A BF CC 00 00 00 00 00 00 00 00,05 61 68,0,1,1,1,1,1,0,1,0
64,9,0.0206235987756145,0.020781698767297,227,0,1,8,00 80 00 04 BA 81 F4 00,1 B3 40,0,1,1,1,1,1,0,1,0
64,10,0.0213876987302513,0.0217678987086294,219,0,1,D,39 0F 00 15 6D 42 AA 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 03 FD 15 E8 00 00 00 00 00 00 00,08 68 2F,0,1,1,1,2,0,0,1,0
64,11,0.0220398986915313,0.0224170986700875,220,0,1,D,39 10 00 16 1C 25 A8 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 03 58 FB A0 00 00 00 00 00 00,1A 17 12,0,1,1,1,6,0,0,1,0
64,12,0.0259030984621802,0.0264162984326623,02D,0,1,E,BA 3D CB 04 C4 09 00 90 70 97 58 62 46 52 C5 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 08 A7 3C 34 00 00 00 00 00 00 00 00 00 00,1E 85 76,0,1,1,1,6,0,0,1,0
64,13,0.0264224984313444,0.0265766984231397,212,0,1,8,39 04 06 04 B5 69 FC 84,1 71 1A,0,1,1,1,5,1,0,1,0
64,14,0.0318586981086071,0.0321428980928033,14420194,0,0,8,40 02 00 00 00 00 00 00,78 E0,0,1,1,1,,,1,,
64,15,0.0321489980913725,0.0328421980512871,18E19490,0,1,F,01 F1 01 57 0D 69 01 80 0C ED 00 BC 02 06 06 20 03 00 00 40 1F 01 C3 03 AC 0D FA 06 01 20 03 68 0E 01 FA 06 84 0C 00 00 01 01 00 00 DC 37 D0 07 AC 0D 40 1F 0C 57 0E 55 13 11 00 15 05 15 00 00,07 C0 9C,0,1,1,1,4,0,1,1,0
64,16,0.0355384978901441,0.0359076978691752,217,0,1,D,39 13 00 15 1B 48 A9 0C A0 59 4D C3 0F 12 50 F0 FF FF FF FF FF 03 D7 72 CE 00 00 00 00 00 00 00,18 D8 A2,0,1,1,1,7,1,0,1,0
64,17,0.0363736978405598,0.0368877978111072,219,0,1,E,39 0E 00 20 58 BF AB 0F 78 80 83 1A 3F 25 80 D5 58 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 05 C5 05 46 00 00 00 00 00 00 00 00 00 00 00 00,1C 48 00,0,1,1,1,0,0,0,1,0
64,18,0.0404798975967822,0.0408650975748635,212,0,1,D,39 0C 14 0C FF FF FF FF FD FF FF FF FF FF FF FF 39 04 0C 05 0E 0F F4 FF FF 00 00 00 00 00 00 00,0C D9 D9,0,1,1,1,7,1,0,1,0
64,19,0.0413850975430421,0.0417651975215449,219,0,1,D,39 0F 00 15 8F 52 AB 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 05 EC 54 10 00 00 00 00 00 00 00,19 94 62,0,1,1,1,2,0,0,1,0
64,20,0.0417813975195145,0.042485497478782,540,0,1,F,23 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,11 12 63,0,1,1,1,5,1,0,1,0
64,21,0.0424914974773571,0.0429996974482549,220,0,1,E,39 10 01 10 55 41 3F 30 53 10 11 16 E9 9C 12 20 95 C0 FF F5 39 10 00 16 38 8D A9 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 04 F1 CE 47 00 00,1D CA C5,0,1,1,1,1,1,0,1,0
64,22,0.0458237972795246,0.0463368972501314,02D,0,1,E,E7 02 CC 04 C4 09 00 90 70 97 58 62 46 52 C5 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 0A 18 9C 93 00 00 00 00 00 00 00 00 00 00,0E EF 98,0,1,1,1,6,0,0,1,0
63,1,4.09999975659048E-06,0.000205099987942323,1B6EDB6D,1,0,4,A5 24 92 49,12 55,0,0,1,0,,,1,,
63,2,0.000770399954262757,0.00114659993299708,220,0,1,D,39 10 00 16 08 63 88 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF C3 8F 05 2B 00 00 00 00 00 00,0B 3A EF,0,1,1,1,5,1,0,1,0
63,3,0.00451459973197643,0.00502879970239921,02D,0,1,E,F9 69 AB 04 C4 09 00 90 70 97 58 62 46 52 C5 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF C8 E1 8E 3B 00 00 00 00 00 00 00 00 00 00,13 5F B6,0,1,1,1,7,1,0,1,0
63,4,0.00918299945482204,0.00937219944453947,227,0,1,9,41 00 05 08 00 80 03 43 CD DA C7 BF,1 52 47,0,1,1,1,0,0,0,1,0
