Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
48,1,3.59999978627457E-06,7.65999955711341E-05,249,0,1,0,,,,0,0,0,1,1,0,0,0
48,2,0.0041949997509505,0.00457519972932861,219,0,1,D,39 0F 00 15 5F 8C E1 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 71 E6 08 6C 00 00 00 00 00 00 00,10 A8 68,0,1,1,1,2,0,0,1,0
48,3,0.00600319964360096,0.00651839961396437,02D,0,1,E,BB DD 02 04 C4 09 00 90 70 97 58 62 46 52 95 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 75 69 D1 BE 00 00 00 00 00 00 00 00 00 00,1F A3 3F,0,1,1,1,0,0,0,1,0
48,4,0.0102106993938094,0.010721899364529,217,0,1,E,39 13 01 0B 58 BA 58 55 95 00 FE 03 BA FF EF 39 13 00 15 8D 48 E0 07 A0 59 CD DF 0F 12 28 F0 FF FF FF FF FF 71 AD 70 7E 00 00 00 00 00 00 00 00,11 12 B7,0,1,1,1,5,1,0,1,0
48,5,0.010885999353718,0.0110760993435008,227,0,1,9,41 00 05 08 00 80 03 43 CD B1 74 1E,1 7F ED,0,1,1,1,1,1,0,1,0
48,6,0.0136501991896125,0.0140243991683468,220,0,1,D,39 10 00 16 B1 B8 E0 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 71 88 AB 84 00 00 00 00 00 00,03 16 E6,0,1,1,1,3,1,0,1,0
48,7,0.0140304991670348,0.0147456991256433,18E19490,0,1,F,04 58 01 5D 01 0F 00 3E 30 EE 0C 5D 0D 22 01 66 01 08 03 01 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,05 B2 D4,0,1,1,1,2,0,1,1,0
48,8,0.0195375988400883,0.0200507988106892,219,0,1,E,39 0E 00 20 48 A4 E2 0F 68 80 83 1A 3F 29 80 95 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 73 99 3B 8B 00 00 00 00 00 00 00 00 00 00 00 00,04 C3 33,0,1,1,1,7,1,0,1,0
48,9,0.0208907987597513,0.0210479987513685,227,0,1,8,00 80 00 04 90 28 CC 00,1 D4 DD,0,1,1,1,0,0,0,1,0
48,10,0.0242119985625777,0.0245910985411399,219,0,1,D,39 0F 00 15 79 BD E2 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 73 B4 9B BE 00 00 00 00 00 00 00,18 45 F1,0,1,1,1,1,1,0,1,0
48,11,0.026015198455525,0.0265312984259537,02D,0,1,E,A4 D4 03 04 C4 09 00 90 70 97 58 62 46 52 95 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 77 7F EC 05 00 00 00 00 00 00 00 00 00 00,00 0A 21,0,1,1,1,1,1,0,1,0
48,12,0.0265375984245111,0.0266906984164904,212,0,1,8,39 04 06 04 38 DB D4 84,0 96 DB,0,1,1,1,4,0,0,1,0
48,13,0.0303510981981105,0.0307232981769636,217,0,1,D,39 13 00 15 DC A7 E1 07 A0 59 4D E0 0F 12 28 F0 FF FF FF FF FF 73 31 43 08 00 00 00 00 00 00 00,02 D6 2C,0,1,1,1,2,0,0,1,0
48,14,0.0308752981669898,0.0310614981568853,227,0,1,9,41 00 05 08 01 B6 F5 16 6D 9E 65 46,1 21 97,0,1,1,1,5,1,0,1,0
48,15,0.0337654979954038,0.0342756979660641,220,0,1,E,39 10 01 10 55 41 3F 00 53 10 D1 42 E9 9C 12 20 95 C0 FF F5 39 10 00 16 FD 3D E1 0E A2 01 00 23 5C 35 2C 00 00 00 00 00 FF FF 73 FA 8B DF 00 00,01 85 92,0,1,1,1,3,1,0,1,0
48,16,0.0395495976520124,0.0400566976229754,219,0,1,E,39 FE 0B 08 61 00 00 00 01 00 00 00 39 0E 00 20 DC 80 E3 0F 68 80 83 1A 3F 29 80 95 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 75 EB 9D FD,11 CA 18,0,1,1,1,1,1,0,1,0
48,17,0.0435747974130436,0.0442658973730829,18E19490,0,1,F,00 00 00 01 00 00 00 55 05 68 06 D8 03 00 00 EF 01 65 01 3B 02 8E 00 00 82 01 8E 01 00 00 FD 08 F1 08 00 00 53 52 4F FA 00 F9 00 AE 01 7A 01 57 01 32 01 53 53 4E 46 03 13 11 00 15 05 15 00 00,04 A2 27,0,1,1,1,2,0,1,1,0
48,18,0.044271897371658,0.0446510973500955,219,0,1,D,39 0F 00 15 9B AD E3 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 75 D1 67 DE 00 00 00 00 00 00 00,13 D3 A0,0,1,1,1,1,1,0,1,0
48,19,0.0460130972682862,0.0465282972386496,02D,0,1,E,F9 EB 04 04 C4 09 00 90 70 97 58 62 46 52 95 2B 98 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 79 E2 61 03 00 00 00 00 00 00 00 00 00 00,03 18 1B,0,1,1,1,0,0,0,1,0
46,1,0.000129499992311821,0.000316699982147989,227,0,1,9,41 00 05 08 01 C8 91 A6 68 D1 79 7F,0 8D 81,0,1,1,1,6,0,0,1,0
46,2,0.00294869982494106,0.00345589979589815,220,0,1,E,39 10 01 10 55 41 3F 2D 52 10 89 46 E9 9C 12 20 95 C0 FF F5 39 10 00 16 29 BA B4 0E A2 01 00 23 5C 35 2C 00 00 00 00 00 FF FF 19 74 AE 3B 00 00,07 88 39,0,1,1,1,0,0,0,1,0
46,3,0.00879979947757192,0.00931199944811344,219,0,1,E,39 0E 00 20 E8 AD B6 0E 68 80 83 1A 3F 29 80 55 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 1B B3 8B AC 00 00 00 00 00 00 00 00 00 00 00 00,0B 91 59,0,1,1,1,6,0,0,1,0
46,4,0.0127619992423433,0.0134531992023767,18E19490,0,1,F,00 00 00 01 00 00 00 55 05 69 06 D8 03 00 00 EF 01 65 01 3B 02 8E 00 00 82 01 8E 01 00 00 F7 08 F0 08 00 00 53 52 4F FA 00 FA 00 AF 01 7A 01 57 01 32 01 53 53 4E 35 03 13 11 00 15 05 15 00 00,12 D0 11,0,1,1,1,2,0,1,1,0
46,5,0.0135071991981022,0.0138873991764803,219,0,1,D,39 0F 00 15 F4 98 B6 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 1B 3F B0 E1 00 00 00 00 00 00 00,1D 1A 47,0,1,1,1,2,0,0,1,0
46,6,0.0152453990949084,0.0157605990652718,02D,0,1,E,A4 EA D7 04 C4 09 00 90 70 97 58 62 46 52 95 2B 88 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 1F 3B A0 0C 00 00 00 00 00 00 00 00 00 00,1E B3 DA,0,1,1,1,0,0,0,1,0
46,7,0.0192889988548473,0.0196600988338843,217,0,1,D,39 13 00 15 21 6D B5 07 A0 59 8D E0 0F 12 28 F0 FF FF FF FF FF 1B CA 45 1E 00 00 00 00 00 00 00,16 AA 25,0,1,1,1,1,1,0,1,0
46,8,0.0201561988033632,0.0203462987931459,227,0,1,9,39 04 22 08 00 3C 06 7E 78 0F FA FF,0 A6 ED,0,1,1,1,1,1,0,1,0
46,9,0.0228603986428197,0.0232354986216194,220,0,1,D,39 10 00 16 65 3F B5 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 1B D2 EC BE 00 00 00 00 00 00,17 A9 C8,0,1,1,1,4,0,0,1,0
46,10,0.0251875985046581,0.0253806984942627,212,0,1,9,39 04 0C 05 0E 0F F4 FF FF 00 00 00,1 37 80,0,1,1,1,4,0,0,1,0
46,11,0.0288106982895613,0.0294628982517912,219,0,1,F,39 0E 01 0F 84 35 FF FF FF FF FF FF FF 1F D3 08 BC FD FF 39 0E 00 20 7C 89 B7 0E 68 80 83 1A 3F 29 80 55 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 1D 12 2E 77 00 00 00 00 00 00 00 00 00,1B 15 1E,0,1,1,1,2,0,0,1,0
46,12,0.0334709980128878,0.0338491979913846,219,0,1,D,39 0F 00 15 16 88 B7 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 1D 62 49 DD 00 00 00 00 00 00 00,00 8F B3,0,1,1,1,0,0,0,1,0
46,13,0.0352371979080317,0.0357502978786385,02D,0,1,E,01 9D D8 04 C4 09 00 90 70 97 58 62 46 52 95 2B 88 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 21 5E 8C AB 00 00 00 00 00 00 00 00 00 00,08 31 B4,0,1,1,1,6,0,0,1,0
46,14,0.0357565978771959,0.0359806978649601,227,0,1,A,39 80 00 0C 00 FF C0 8F 40 30 B0 FE 23 F1 CB 17,1 77 99,0,1,1,1,3,1,0,1,0
46,15,0.0393030976666466,0.039676197645565,217,0,1,D,39 13 00 15 C4 4C B6 07 A0 59 CD DF 0F 12 28 F0 FF FF FF FF FF 1D 47 41 74 00 00 00 00 00 00 00,00 6D D3,0,1,1,1,3,1,0,1,0
46,16,0.0427922974594992,0.0431674974381742,220,0,1,D,39 10 00 16 28 D7 B6 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF 1D 47 50 39 00 00 00 00 00 00,16 30 8F,0,1,1,1,4,0,0,1,0
46,17,0.0431735974368621,0.043866797396658,18E19490,0,1,F,01 EB 01 57 0D 65 01 80 0C E9 00 BC 02 06 06 20 03 00 00 40 1F 01 A8 00 AC 0D EF 06 01 20 03 54 0E 01 FA 06 87 0C 00 00 01 01 00 00 05 38 D0 07 AC 0D 40 1F 0C 18 04 55 13 11 00 15 05 15 00 00,0A 5D E5,0,1,1,1,4,0,1,1,0
46,18,0.0486966971089657,0.0492098970794479,219,0,1,E,39 0E 00 20 77 57 B8 0F 68 80 83 1A 3F 29 80 55 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 1F E7 36 1D 00 00 00 00 00 00 00 00 00 00 00 00,0E 16 39,0,1,1,1,7,1,0,1,0
45,1,0.00149719991111397,0.00186729989021043,217,0,1,D,39 13 00 15 2D 96 92 07 A0 59 0D E0 0F 12 28 F0 FF FF FF FF FF D5 B5 15 9E 00 00 00 00 00 00 00,12 96 61,0,1,1,1,0,0,0,1,0
45,2,0.00240939985695832,0.00259959984661638,227,0,1,9,39 04 22 08 00 3C 06 7E 78 0F FA FF,0 A6 ED,0,1,1,1,1,1,0,1,0
45,3,0.00494959970615128,0.00532379968500433,220,0,1,D,39 10 00 16 EE 11 92 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF D5 AD CD 8F 00 00 00 00 00 00,00 36 04,0,1,1,1,3,1,0,1,0
45,4,0.00532989968357356,0.00602509964325069,18E19490,0,1,F,02 84 00 64 64 64 01 00 03 27 57 02 03 00 00 00 00 00 00 00 F9 00 FB 00 BD 04 C2 04 C6 04 02 00 FE FF 00 00 4E 14 C0 05 76 05 7E 13 00 00 08 02 80 08 80 0C 59 0F 2C 0D 13 11 00 15 05 15 00 00,03 E0 14,0,1,1,1,6,0,1,1,0
45,5,0.00744709955787926,0.00797229952764898,212,0,1,E,39 04 0C 05 0E 0F F4 FF FF 39 15 01 14 45 FD 93 E5 F8 5F F5 FF FF FF FF FE 07 00 A0 28 75 FE FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,12 42 31,0,1,1,1,3,1,0,1,0
45,6,0.0111101993404077,0.0117643993025189,219,0,1,F,39 0E 01 0F 84 35 FF FF FF FF FF FF FF 1F D3 08 BC FD FF 39 0E 00 20 C4 36 94 0E 68 80 83 1A 3F 29 80 55 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF D7 BA D0 47 00 00 00 00 00 00 00 00 00,1E B1 1C,0,1,1,1,4,0,0,1,0
45,7,0.0157324990659902,0.0161126990443683,219,0,1,D,39 0F 00 15 32 85 94 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF D7 0C 06 32 00 00 00 00 00 00 00,04 68 6A,0,1,1,1,2,0,0,1,0
45,8,0.0174846989619653,0.0179998989323286,02D,0,1,E,D9 AC B5 04 C4 09 00 90 70 97 58 62 46 52 95 2B 88 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF DB FB 0F 03 00 00 00 00 00 00 00 00 00 00,18 CA 99,0,1,1,1,0,0,0,1,0
45,9,0.0214981987236911,0.0218733987024847,217,0,1,D,39 13 00 15 DC CC 93 07 A0 59 0D DF 0F 12 28 F0 FF FF FF FF FF D7 B3 FF 3D 00 00 00 00 00 00 00,18 79 AF,0,1,1,1,5,1,0,1,0
45,10,0.0249574985183187,0.0253306984971124,220,0,1,D,39 10 00 16 CA B9 93 0E A2 21 00 23 5C 35 2C 00 00 00 00 00 FF FF D7 B2 98 49 00 00 00 00 00 00,1A B5 17,0,1,1,1,2,0,0,1,0
45,11,0.0258266984667159,0.0259897984581016,540,0,1,8,24 00 00 00 00 00 00 00,1 D4 51,0,1,1,1,5,1,0,1,0
45,12,0.0309679981614863,0.0314720981326275,219,0,1,E,39 0F 01 06 4E 85 04 60 F8 1C 39 0E 00 20 50 12 95 0E 68 80 83 1A 3F 29 80 55 58 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF D9 CE 6A 82 00 00,15 40 EB,0,1,1,1,6,0,0,1,0
45,13,0.0349481979251891,0.0356392978852284,18E19490,0,1,F,03 68 06 CA 16 59 D2 11 0E 0F 0E 1E 00 F8 00 F7 00 00 00 05 01 05 01 00 00 EF 01 EF 01 00 00 00 00 0A 02 10 27 00 AC 0D 0E 0E 0E 0E 1F 00 94 DB 05 5B 16 D4 0C 84 1C 00 13 11 00 15 05 15 00 00,06 12 09,0,1,1,1,2,0,1,1,0
45,14,0.0357132978797665,0.036094497858204,219,0,1,D,39 0F 00 15 D0 95 95 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF D9 02 60 0E 00 00 00 00 00 00 00,12 FE 0F,0,1,1,1,3,1,0,1,0
