Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.0130286992265098,0.013540799197176,02D,0,1,E,4F B2 6E 04 C4 09 00 90 70 97 58 62 46 52 45 2C A8 DE 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 4D 0D 5E 8D 00 00 00 00 00 00 00 00 00 00,05 7C BF,0,1,1,1,5,1,0,1,0
64,2,0.0140807991640486,0.0145928991347148,219,0,1,E,39 0E 00 20 AF 4E 4D 00 68 7F 83 1A 3F 22 80 95 49 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 4A EF 72 73 00 00 00 00 00 00 00 00 00 00 00 00,09 1E C2,0,1,1,1,6,0,0,1,0
64,3,0.01488709911618,0.0152591990951578,217,0,1,D,39 13 00 15 67 C2 4E 10 A0 4B CD AE 0F 12 68 F0 FF FF FF FF FF 49 6B 6D 2E 00 00 00 00 00 00 00,09 4B DD,0,1,1,1,2,0,0,1,0
64,4,0.0185792988969808,0.0189534988757152,220,0,1,D,39 10 00 16 31 B7 4F 0E A2 21 00 23 20 35 2C 00 00 00 00 00 FF FF 49 15 E2 99 00 00 00 00 00 00,14 04 35,0,1,1,1,3,1,0,1,0
64,5,0.0191014988659788,0.0194805988445409,219,0,1,D,39 0F 00 15 CD 84 4D 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 4A B2 F9 A9 00 00 00 00 00 00 00,05 0D 3C,0,1,1,1,1,1,0,1,0
64,6,0.0285146983071343,0.029202898267227,18E19490,0,1,F,03 68 06 C4 16 70 D2 0F 0E 13 0E 1D 00 F9 00 FC 00 00 00 09 01 09 01 00 00 EF 01 EF 01 00 00 00 00 12 02 10 27 00 AC 0D 0D 0E 12 0E 1E 00 94 DB 05 59 16 D5 0C 84 1C 00 13 11 00 15 05 15 00 00,1E F2 04,0,1,1,1,7,1,1,1,0
64,7,0.0330428980383033,0.0335560980087855,02D,0,1,E,50 BB 6F 04 C4 09 00 90 70 97 58 62 46 52 45 2C A8 DE 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 4F F3 35 60 00 00 00 00 00 00 00 00 00 00,08 A6 F7,0,1,1,1,6,0,0,1,0
64,8,0.0335622980074675,0.0337153979994468,212,0,1,8,39 04 06 04 F1 CC 50 84,1 21 23,0,1,1,1,4,0,0,1,0
64,9,0.0339953979817551,0.0345105979522373,219,0,1,E,39 0E 00 20 67 E2 4E 00 68 7F 83 1A 3F 22 80 D5 49 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 4C 19 A1 73 00 00 00 00 00 00 00 00 00 00 00 00,12 F0 6C,0,1,1,1,1,1,0,1,0
64,10,0.0348907979285968,0.0352608979075746,217,0,1,D,39 13 00 15 55 88 4F 10 A0 4B 8D AE 0F 12 68 F0 FF FF FF FF FF 4B 1E F9 60 00 00 00 00 00 00 00,0E 04 F2,1,1,1,0,2,0,0,1,0
64,11,0.0379169977489369,0.0380751977404947,227,0,1,8,00 80 00 04 59 3F 48 00,0 EA BB,0,1,1,1,1,1,0,1,0
64,12,0.0386031977081984,0.0389792976869387,220,0,1,D,39 10 00 16 BE F7 50 0E AA 21 00 25 20 35 2C 00 00 00 00 00 FF FF 4B A8 D7 1D 00 00 00 00 00 00,1D 01 1D,0,1,1,1,5,1,0,1,0
64,13,0.0393012976667535,0.0396794976452504,219,0,1,D,39 0F 00 15 EB B5 4E 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 4C 76 D7 26 00 00 00 00 00 00 00,0D 93 DB,0,1,1,1,0,0,0,1,0
63,1,0.000948999943659601,0.0011371999334364,227,0,1,9,41 00 05 08 01 C6 EB 3E 92 C5 74 0A,0 6D 4A,0,1,1,1,7,1,0,1,0
63,2,0.0017371998968656,0.00210329987619954,219,0,1,D,39 0E 04 10 5C E3 0B 4C 24 B4 DB FF 0F AE 6C 75 EB FF FF FF 39 0F 01 06 4E 85 04 60 3C 19 00 00,0F 57 4F,0,1,1,1,4,0,0,1,0
63,3,0.00211549987440662,0.00240159985849001,14420061,0,0,8,40 02 00 00 00 00 00 00,0F A5,0,1,1,1,,,1,,
63,4,0.00602769964214644,0.00653789961268796,02D,0,1,E,F2 A5 4A 04 C4 09 00 90 70 97 58 62 46 52 45 2C A8 DE 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 05 2A 42 F5 00 00 00 00 00 00 00 00 00 00,1F 42 E0,1,1,1,0,5,1,0,1,0
63,5,0.00708989957908557,0.00760599954951428,219,0,1,E,39 0E 00 20 1D 0B 29 00 68 7F 83 1A 3F 22 80 95 49 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 02 0F 09 E1 00 00 00 00 00 00 00 00 00 00 00 00,1D CA 82,0,1,1,1,2,0,0,1,0
63,6,0.00808819951981832,0.00845839949879011,217,0,1,D,39 13 00 15 76 C0 2A 10 A0 4B CD AD 0F 12 68 F0 FF FF FF FF FF 01 19 84 88 00 00 00 00 00 00 00,07 8A 8A,0,1,1,1,0,0,0,1,0
63,7,0.0114823993183109,0.0118595992968671,220,0,1,D,39 10 00 16 DF FD 2B 0E A2 21 00 23 20 35 2C 00 00 00 00 00 FF FF 01 35 DB AC 00 00 00 00 00 00,0D 69 6F,0,1,1,1,6,0,0,1,0
63,8,0.0121094992810811,0.0124926992593998,219,0,1,D,39 0F 00 15 43 83 29 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 02 F3 F8 3E 00 00 00 00 00 00 00,16 E7 76,0,1,1,1,5,1,0,1,0
63,9,0.0214127987287611,0.0221259986873696,18E19490,0,1,F,04 62 01 5D 01 0F 00 34 30 EE 0C 4F 0D 22 01 21 01 08 03 01 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,16 27 78,0,1,1,1,0,0,1,1,0
63,10,0.0260339984544089,0.0265491984247723,02D,0,1,E,ED AC 4B 04 C4 09 00 90 70 97 58 62 46 52 45 2C A8 DE 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 07 8F 58 3A 00 00 00 00 00 00 00 00 00 00,0C 91 BA,0,1,1,1,0,0,0,1,0
63,11,0.0270911983916449,0.0276072983620736,219,0,1,E,39 0E 00 20 A1 66 2A 00 68 7F 83 1A 3F 22 80 95 49 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 04 74 C0 DF 00 00 00 00 00 00 00 00 00 00 00 00,0F 19 C6,0,1,1,1,2,0,0,1,0
63,12,0.0278654983456761,0.0282366983245885,217,0,1,D,39 13 00 15 E1 D3 2B 10 A0 4B CD AC 0F 12 68 F0 FF FF FF FF FF 03 E2 31 39 00 00 00 00 00 00 00,01 32 F9,0,1,1,1,1,1,0,1,0
63,13,0.0315966981241615,0.0319748981027771,220,0,1,D,39 10 00 16 40 95 2C 0E A2 21 00 23 20 35 2C 00 00 00 00 00 FF FF 03 A4 98 40 00 00 00 00 00 00,1A 99 D0,0,1,1,1,7,1,0,1,0
63,14,0.0321108980936344,0.0324909980721372,219,0,1,D,39 0F 00 15 65 B2 2A 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 04 3D 04 C6 00 00 00 00 00 00 00,00 C3 73,0,1,1,1,2,0,0,1,0
63,15,0.0460410972666239,0.0465521972373494,02D,0,1,E,B0 93 4C 04 C4 09 00 90 70 97 58 62 46 52 45 2C A8 DE 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 09 D1 4D 67 00 00 00 00 00 00 00 00 00 00,1C 90 0A,0,1,1,1,4,0,0,1,0
63,16,0.0465583972359127,0.0467115972277674,212,0,1,8,39 04 06 04 21 24 49 84,1 9A C2,0,1,1,1,4,0,0,1,0
63,17,0.0471315972018829,0.0476467971722463,219,0,1,E,39 0E 00 20 35 42 2B 00 68 7F 83 1A 3F 22 80 95 49 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 06 74 09 F2 00 00 00 00 00 00 00 00 00 00 00 00,1E 59 4A,0,1,1,1,1,1,0,1,0
