Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,5.99999964379094E-07,0.000177599989456212,0A27658B,0,0,2,49 24,44 92,1,0,1,0,,,1,,
64,2,0.00232879986174339,0.00284199983222553,219,0,1,E,39 0E 00 20 1B 79 71 0D 58 80 83 1A 3F 29 80 15 57 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 91 73 6F BB 00 00 00 00 00 00 00 00 00 00 00 00,10 0F 74,0,1,1,1,7,1,0,1,0
64,3,0.00708009957966738,0.00745929955810486,219,0,1,D,39 0F 00 15 56 62 71 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 91 45 68 89 00 00 00 00 00 00 00,18 EE A0,0,1,1,1,1,1,0,1,0
64,4,0.00785129953388264,0.00836639950437072,02D,0,1,E,02 41 92 04 C4 09 00 90 70 97 58 62 46 52 95 2B 78 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 95 69 22 5A 00 00 00 00 00 00 00 00 00 00,1C 64 57,0,1,1,1,0,0,0,1,0
64,5,0.00837259950293401,0.0085257994947887,212,0,1,8,39 04 06 04 DC 9D 57 84,1 CC 45,0,1,1,1,4,0,0,1,0
64,6,0.00853199949347072,0.00890309947250782,217,0,1,D,39 13 00 15 B4 6D 70 08 A0 58 4D DD 0F 12 30 F0 FF FF FF FF FF 91 DF E0 67 00 00 00 00 00 00 00,1C 39 4E,0,1,1,1,1,1,0,1,0
64,7,0.00890919947107705,0.00917329945646654,227,0,1,B,00 80 00 04 74 6E 4F 00 41 00 05 08 01 AF E0 11 09 9A B7 7C,1B D5 E7,0,1,1,1,6,0,0,1,0
64,8,0.00958729943081948,0.0100964994016578,220,0,1,E,39 10 01 10 55 40 3F 00 52 10 E9 46 E9 9C 11 20 95 C0 FF F5 39 10 00 16 97 13 70 0E A2 01 00 23 58 35 2C 00 00 00 00 00 FF FF 91 1B 31 CC 00 00,09 43 0C,0,1,1,1,2,0,0,1,0
64,9,0.0223402986736971,0.022853498644298,219,0,1,E,39 0E 00 20 A7 14 72 0D 58 80 83 1A 3F 29 80 15 57 4D C1 16 B3 28 1D 5C 05 03 00 F1 FF FF FF FF 93 9A A7 59 00 00 00 00 00 00 00 00 00 00 00 00,05 4A 66,0,1,1,1,7,1,0,1,0
64,10,0.0270835983920961,0.0274657983703554,219,0,1,D,39 0F 00 15 70 53 72 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 93 EF 57 FD 00 00 00 00 00 00 00,02 AF C7,0,1,1,1,4,0,0,1,0
64,11,0.0278237983481517,0.0283369983186339,02D,0,1,E,1D 48 93 04 C4 09 00 90 70 97 58 62 46 52 95 2B 78 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 97 3C 9E 14 00 00 00 00 00 00 00 00 00 00,03 03 13,0,1,1,1,6,0,0,1,0
64,12,0.0283431983173159,0.0287152982962936,217,0,1,D,39 13 00 15 3C EB 71 07 A0 58 8D DD 0F 12 30 F0 FF FF FF FF FF 93 4F FF 29 00 00 00 00 00 00 00,12 5B C1,0,1,1,1,2,0,0,1,0
64,13,0.0294913982491494,0.0298674982278896,220,0,1,D,39 10 00 16 DB 96 71 0E A2 21 00 23 58 35 2C 00 00 00 00 00 FF FF 93 C7 E0 AF 00 00 00 00 00 00,1C A6 52,0,1,1,1,5,1,0,1,0
64,14,0.0298736982264529,0.03056889818613,18E19490,0,1,F,02 84 00 64 64 64 01 00 03 27 54 02 02 00 00 00 00 00 00 00 F7 00 FB 00 BE 04 BF 04 C8 04 02 00 FF FF 00 00 4D 14 BF 05 75 05 87 13 00 00 09 02 81 08 80 0C 49 0F 2C 0D 13 11 00 15 05 15 00 00,06 07 F5,0,1,1,1,6,0,1,1,0
64,15,0.0327228980573011,0.0329130980469592,227,0,1,9,39 04 22 08 00 3C 06 7E 78 0F FA FF,0 A6 ED,0,1,1,1,1,1,0,1,0
64,16,0.0377692977577055,0.038072497740655,212,0,1,C,39 04 0C 05 0E 0F F4 FF FF 39 FE 1D 08 59 40 B2 08 40 02 00 00 00 00 00,00 C8 AA,0,1,1,1,5,1,0,1,0
64,17,0.0423463974859715,0.0429995974481421,219,0,1,F,39 0E 01 0F 6C 35 FF FF FF FF FF FF FF 1F D3 08 BC FD FF 39 0E 00 20 FC 81 73 0D 58 80 83 1A 3F 29 80 15 57 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 95 FB D1 9D 00 00 00 00 00 00 00 00 00,10 57 ED,0,1,1,1,3,1,0,1,0
64,18,0.0470996972037767,0.0474788971822142,219,0,1,D,39 0F 00 15 92 43 73 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 95 31 64 BB 00 00 00 00 00 00 00,1A C7 24,0,1,1,1,1,1,0,1,0
64,19,0.0478288971604854,0.0483439971309735,02D,0,1,E,40 77 94 04 C4 09 00 90 70 97 58 62 46 52 95 2B 78 DF 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 99 C4 A0 1E 00 00 00 00 00 00 00 00 00 00,07 7C 44,0,1,1,1,0,0,0,1,0
64,20,0.0483501971295368,0.0487203971085086,217,0,1,D,39 13 00 15 6A 35 72 07 A0 58 4D DD 0F 12 30 F0 FF FF FF FF FF 95 87 D2 F5 00 00 00 00 00 00 00,17 12 A0,0,1,1,1,0,0,0,1,0
