Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.00139169991737731,0.00177289989569605,219,0,1,D,39 0F 00 15 B0 0A 30 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 10 B0 26 88 00 00 00 00 00 00 00,1C F8 DE,0,1,1,1,3,1,0,1,0
64,2,0.0024308998556819,0.00312909981518093,18E19490,0,1,F,02 84 00 64 64 64 01 00 05 27 55 02 02 00 00 00 00 00 00 00 E9 00 EC 00 BE 04 C1 04 C7 04 02 00 FF FF 00 00 48 14 C5 05 74 05 84 13 00 00 0F 02 85 08 80 0C 76 0F 2C 0D 13 11 00 15 05 15 00 00,10 9C CA,0,1,1,1,1,1,1,1,0
64,3,0.0032630998062757,0.00345619979588034,212,0,1,9,39 04 0C 05 0E 0F F4 FF FF 00 00 00,1 37 80,0,1,1,1,4,0,0,1,0
64,4,0.00556049966988326,0.00593269964873631,217,0,1,D,39 13 00 15 F0 AF 31 0C A0 4D CD C3 0F 12 50 F0 FF FF FF FF FF 10 34 8B EF 00 00 00 00 00 00 00,05 EA B3,0,1,1,1,2,0,0,1,0
64,5,0.0124967992580878,0.0128749992365846,220,0,1,D,39 10 00 16 0A 80 32 0E A2 21 00 23 2C 35 2C 00 00 00 00 00 FF FF 10 63 EA 9D 00 00 00 00 00 00,0D 36 65,0,1,1,1,7,1,0,1,0
64,6,0.0133209992091565,0.013833199179698,02D,0,1,E,59 4D 52 04 C4 09 00 90 70 97 58 62 46 52 05 2C C8 DE 30 FF FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 14 79 A4 89 00 00 00 00 00 00 00 00 00 00,1E AE CD,0,1,1,1,5,1,0,1,0
64,7,0.016783099003618,0.0174362989657885,219,0,1,F,39 0E 01 0F 48 35 FF FF FF FF FF FF FF BF D2 08 BC FD FF 39 0E 00 20 8B 1D 31 03 98 7F 83 1A 3F 25 80 55 4C 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 12 F7 B6 7D 00 00 00 00 00 00 00 00 00,0D E8 17,0,1,1,1,3,1,0,1,0
64,8,0.0214043987292598,0.0217825987077566,219,0,1,D,39 0F 00 15 52 1A 31 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 12 C8 F6 63 00 00 00 00 00 00 00,1B D1 57,0,1,1,1,0,0,0,1,0
64,9,0.0232305986208416,0.0234517986085406,227,0,1,A,39 80 00 0C 00 7F A4 8F B2 30 B0 FE 17 D0 E0 68,1 67 26,1,1,1,0,2,0,0,1,0
64,10,0.0267920984094019,0.0272972983804777,217,0,1,E,39 13 01 0B 57 BA 38 55 95 00 FE 03 BA FF EF 39 13 00 15 52 83 32 0D A0 4D 4D C3 0F 12 50 F0 FF FF FF FF FF 12 12 AE AD 00 00 00 00 00 00 00 00,01 87 EF,0,1,1,1,7,1,0,1,0
64,11,0.0284713983097049,0.0286294983013874,079,0,1,8,20 C2 00 A0 00 49 9E CB,0 81 0C,0,1,1,1,7,1,0,1,0
