Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
47,1,0.00394089976603595,0.00463599972583776,18E19490,0,1,F,01 02 00 75 0D 55 01 80 0C 10 01 BC 02 06 06 00 00 00 00 40 1F 02 00 00 AC 0D 6B 2B 01 20 03 00 00 02 AF 01 2A 12 00 00 02 02 AE 03 15 38 00 00 AC 0D 40 1F 0C 4B 29 53 13 11 00 15 05 15 00 00,04 D9 0C,0,1,1,1,6,0,1,1,0
47,2,0.00464209972440699,0.00490419970979648,227,0,1,B,39 06 0B 08 48 41 51 25 5C C3 DD FF 00 80 00 04 FF CC 29 04,13 F9 FE,0,1,1,1,4,0,0,1,0
47,3,0.00809819951922464,0.00861129948971272,219,0,1,E,39 0E 00 20 E4 5F C9 31 C8 82 83 1A 3F 3E 80 55 7B 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF DA 96 7F 62 00 00 00 00 00 00 00 00 00 00 00 00,19 01 58,1,1,1,0,1,1,0,1,0
47,4,0.0134774991998654,0.0138585991783088,219,0,1,D,39 0F 00 15 6B 06 CA 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF DB 10 AF A8 00 00 00 00 00 00 00,0F 0D F0,0,1,1,1,3,1,0,1,0
47,5,0.013864599176884,0.0142377991556777,220,0,1,D,39 10 00 16 B9 86 6C AE 12 0A FA DE D4 35 28 00 00 00 00 00 FF FF DA E9 AE 46 00 00 00 00 00 00,0A 52 1D,0,1,1,1,2,0,0,1,0
47,6,0.0146879991280002,0.0150590991070373,217,0,1,D,39 13 00 15 BE B6 6F 12 A0 7B CD A0 0F 12 78 F0 FF FF FF FF FF DA B8 1B BB 00 00 00 00 00 00 00,04 4B 5B,0,1,1,1,1,1,0,1,0
47,7,0.0192831988551916,0.0198073988250207,02D,0,1,E,3E FF 80 05 C4 09 00 90 70 97 58 62 70 52 05 00 08 00 A0 FE FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF E0 22 CE E4 00 00 00 00 00 00 00 00 00 00,15 1B 1C,0,1,1,1,1,1,0,1,0
47,8,0.028047298334883,0.0285633983053117,219,0,1,E,39 0E 00 20 58 32 CA 31 C8 82 83 1A 3F 3E 80 55 7B 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF DC 10 66 62 00 00 00 00 00 00 00 00 00 00 00 00,1C B3 E8,0,1,1,1,2,0,0,1,0
47,9,0.0334574980136892,0.033837597992192,219,0,1,D,39 0F 00 15 89 16 CB 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF DD FC 92 D2 00 00 00 00 00 00 00,08 7E C3,0,1,1,1,2,0,0,1,0
47,10,0.0338435979907672,0.0342187979695609,220,0,1,D,39 10 00 16 9D 2E 6D AE 12 0A FA DE D4 35 28 00 00 00 00 00 FF FF DC BF D5 D0 00 00 00 00 00 00,0A FA 90,0,1,1,1,4,0,0,1,0
47,11,0.0342249979681242,0.0349231979276232,18E19490,0,1,F,02 88 00 64 64 64 01 00 00 00 DE 12 4B 8A 00 00 00 00 00 00 2C 01 2E 01 BD 04 01 00 00 00 01 00 00 00 00 00 47 14 C1 05 76 05 82 13 00 00 00 00 95 0C 80 0C 66 0F ED 0B 13 11 00 15 05 15 00 00,05 65 12,0,1,1,1,1,1,1,1,0
47,12,0.0349292979263112,0.0353003979053483,217,0,1,D,39 13 00 15 67 14 70 12 A0 7B CD 9E 0F 12 78 F0 FF FF FF FF FF DC 90 95 37 00 00 00 00 00 00 00,06 9F B5,0,1,1,1,1,1,0,1,0
47,13,0.039338497664545,0.0398596976345522,02D,0,1,E,21 F6 81 05 C4 09 00 90 70 97 58 62 70 52 05 00 08 00 A0 FE FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF E2 6E E2 43 00 00 00 00 00 00 00 00 00 00,0C 5D 7F,0,1,1,1,6,0,0,1,0
47,14,0.0398658976332342,0.0400189976252136,212,0,1,8,39 04 06 04 84 47 55 85,1 76 69,0,1,1,1,4,0,0,1,0
47,15,0.0400251976237769,0.040215397613435,227,0,1,9,41 00 05 08 00 80 03 43 D3 7B E1 DB,1 E8 DA,0,1,1,1,1,1,0,1,0
47,16,0.048059297146807,0.0487153971089242,219,0,1,F,39 0E 01 0F 18 36 FF FF FF FF FF FF FF FF D4 08 BC FD FF 39 0E 00 20 CC 16 CB 31 C8 82 83 1A 3F 3E 80 55 7B 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF DE EE 70 32 00 00 00 00 00 00 00 00 00,1D B0 10,0,1,1,1,6,0,0,1,0
47,17,0.0492674970750784,0.0494885970630207,227,0,1,A,39 80 00 0C 00 7F B0 8F 0C 30 B0 FE E5 42 DC FF,1 37 85,0,1,1,1,0,0,0,1,0
46,1,0.00690989958977184,0.00741909956037272,219,0,1,E,39 0E 00 20 A6 A8 B6 30 B8 82 83 1A 3F 35 80 95 7A 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF B6 16 DC A1 00 00 00 00 00 00 00 00 00 00 00 00,12 86 BC,1,1,1,0,5,1,0,1,0
46,2,0.0123211992685128,0.0127003992469503,219,0,1,D,39 0F 00 15 16 88 B7 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF B7 86 E8 C2 00 00 00 00 00 00 00,07 43 B1,0,1,1,1,1,1,0,1,0
46,3,0.0127063992456442,0.0130804992245032,220,0,1,D,39 10 00 16 64 66 59 AE 12 0A FA DE D0 35 28 00 00 00 00 00 FF FF B5 31 CD A3 00 00 00 00 00 00,17 7D 3B,0,1,1,1,3,1,0,1,0
46,4,0.0134706992002691,0.0138428991790034,217,0,1,D,39 13 00 15 04 C9 5C 11 A0 7A 4D 9F 0F 12 78 F0 FF FF FF FF FF B6 1A 0D D5 00 00 00 00 00 00 00,02 B1 F6,1,1,1,0,4,0,0,1,0
46,5,0.0182008989194458,0.0187200988895717,02D,0,1,E,E2 01 6D 05 C4 09 00 90 70 97 58 62 70 52 05 00 08 00 A0 FE FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF BA 6C 9B 11 00 00 00 00 00 00 00 00 00 00,00 A3 56,0,1,1,1,4,0,0,1,0
46,6,0.0187262988882537,0.0188773988802331,212,0,1,8,39 04 06 04 75 8D 51 85,1 05 4A,1,1,1,0,4,0,0,1,0
46,7,0.0188855988787964,0.0190737988685732,227,0,1,9,41 00 05 08 00 80 03 43 D3 7B B9 E1,0 31 B9,0,1,1,1,7,1,0,1,0
46,8,0.0226498986553167,0.0229076986400116,18F2CA48,0,0,7,25 24 92 49 9D 97 22,2F A0,1,0,1,0,,,1,,
46,9,0.0269249984015119,0.0275781983636824,219,0,1,F,39 0E 01 0F 08 36 FF FF FF FF FF FF FF FF D4 08 BC FD FF 39 0E 00 20 46 4D B7 30 B8 82 83 1A 3F 35 80 D5 7A 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF B8 94 81 58 00 00 00 00 00 00 00 00 00,19 D8 F4,0,1,1,1,3,1,0,1,0
46,10,0.0281261983301988,0.02849539830923,227,0,1,D,39 80 00 0C 00 7F B0 8F 0C 30 B0 FE BD 9E C9 B7 3E 80 01 08 C3 02 0F 00 BD 5F E0 FF 00 00 00 00,1D A4 82,0,1,1,1,7,1,0,1,0
46,11,0.0323332980804309,0.0326731980604298,219,0,1,D,39 0F 00 15 A8 7D B8 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF B9 92 81 E9 00 00 00 00 00 00 20,,,0,0,0,2,1,0,1,0
46,12,0.0327214980573842,0.0330966980360592,220,0,1,D,39 10 00 16 1C 23 5A AE 12 0A FA DE D4 35 28 00 00 00 00 00 FF FF B7 53 81 06 00 00 00 00 00 00,14 4A 72,0,1,1,1,4,0,0,1,0
46,13,0.0334647980132559,0.0338359979921683,217,0,1,D,39 13 00 15 25 C9 5D 11 A0 7A 0D A0 0F 12 78 F0 FF FF FF FF FF B8 FA DE DE 00 00 00 00 00 00 00,17 FB B7,0,1,1,1,1,1,0,1,0
46,14,0.0381860977329609,0.0387061977031521,02D,0,1,E,C3 1A 6E 05 C4 09 00 90 70 97 58 62 70 52 05 00 08 00 A0 FE FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF BC F4 FD 76 00 00 00 00 00 00 00 00 00 00,06 A9 78,0,1,1,1,5,1,0,1,0
46,15,0.0387123977017154,0.0390115976849024,227,0,1,C,41 00 05 08 01 F5 BE AC 9B 39 31 25 39 04 22 08 00 41 C6 7E 78 2F FE FF,1B CD C4,0,1,1,1,1,1,0,1,0
46,16,0.0433457974266389,0.0435389974161189,212,0,1,9,39 04 0C 05 0E 0F F6 FF FF 00 00 00,1 71 DF,0,1,1,1,4,0,0,1,0
46,17,0.0469468972128482,0.0474510971838646,219,0,1,E,39 0F 01 06 4F 85 04 60 F8 1C 39 0E 00 20 E6 3D B8 30 B8 82 83 1A 3F 37 80 D5 7A 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF B9 99 5C 6B 00 00,01 77 A6,0,1,1,1,6,0,0,1,0
45,1,0.00419779975078427,0.00470999972132578,219,0,1,E,39 0E 00 20 76 47 A2 30 B8 82 83 1A 3F 34 80 D5 7A 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 8D 6F D8 9A 00 00 00 00 00 00 00 00 00 00 00 00,1C F7 27,0,1,1,1,6,0,0,1,0
45,2,0.00961009942946589,0.00999229940772527,219,0,1,D,39 0F 00 15 9F D5 A3 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 8E 80 E0 97 00 00 00 00 00 00 00,0A 0E 2B,0,1,1,1,4,0,0,1,0
45,3,0.00999829940641916,0.0103733993852188,220,0,1,D,39 10 00 16 39 D4 45 AE 12 0A FA DE D0 35 28 00 00 00 00 00 FF FF 8C 92 71 D8 00 00 00 00 00 00,08 43 1A,0,1,1,1,4,0,0,1,0
45,4,0.010727599363122,0.0111037993417375,217,0,1,D,39 13 00 15 10 26 48 12 A0 7A 0D 9F 0F 12 78 F0 FF FF FF FF FF 8D 00 02 1E 00 00 00 00 00 00 00,08 73 7D,0,1,1,1,6,0,0,1,0
45,5,0.0154638990819365,0.0159849990519496,02D,0,1,E,AF 87 59 05 C4 09 00 90 70 97 58 62 70 52 05 00 08 00 A0 FE FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 92 0E 4E 79 00 00 00 00 00 00 00 00 00 00,1C 72 79,0,1,1,1,6,0,0,1,0
45,6,0.0159911990506316,0.0161433990424269,212,0,1,8,39 04 06 04 E0 D9 4D 85,0 D4 52,1,1,1,0,5,1,0,1,0
45,7,0.016151599041109,0.0163378990308798,227,0,1,9,41 00 05 08 00 80 03 43 D3 7B 91 D7,1 37 47,0,1,1,1,7,1,0,1,0
