Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
64,1,0.00138399991783444,0.00176319989627192,219,0,1,D,39 0F 00 15 CC 9A 5D 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 04 A5 6D 1B 00 00 00 00 00 00 00,19 9D 13,0,1,1,1,1,1,0,1,0
64,2,0.00327319980567609,0.00379939977538644,212,0,1,E,39 04 0C 05 0E 0F F4 FF FF 39 15 01 14 48 01 92 D9 F8 5F F5 FF FF FF FF FE 07 00 A1 28 01 FE FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1E E9 CC,0,1,1,1,4,0,0,1,0
64,3,0.00380559977406847,0.00408369975862681,14420059,0,0,8,40 03 08 04 00 00 00 00,58 85,0,1,1,1,,,1,,
64,4,0.00717979957374837,0.00787899953330677,18E19490,0,1,F,00 00 00 A5 55 55 55 55 05 00 00 00 00 00 00 00 00 00 00 1A 5A 8D 00 00 01 00 01 00 00 00 00 00 00 00 00 00 52 52 52 2B 01 29 01 A2 01 72 01 59 01 54 01 54 53 52 FF 00 13 11 00 15 05 15 00 00,0B FE FD,0,1,1,1,2,0,1,1,0
64,5,0.0150935991039205,0.0154687990825954,217,0,1,D,39 13 00 15 C0 01 05 12 A0 75 4D A0 0F 12 78 F0 FF FF FF FF FF 04 0F 94 5C 00 00 00 00 00 00 00,1C EB B1,0,1,1,1,5,1,0,1,0
64,6,0.0158367990597981,0.0163489990302208,219,0,1,E,39 0E 00 20 DD B4 5D 2B 68 82 83 1A 3F FC 7F 95 75 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 04 16 EA CF 00 00 00 00 00 00 00 00 00 00 00 00,0A 09 8E,1,1,1,0,0,0,0,1,0
64,7,0.0172909989734649,0.0176670989522051,220,0,1,D,39 10 00 16 C3 34 03 AE 12 0A FA DE BC 35 28 00 00 00 00 00 FF FF 03 14 6D F3 00 00 00 00 00 00,04 C9 38,0,1,1,1,5,1,0,1,0
64,8,0.0180611989277395,0.0185823988977467,02D,0,1,E,C0 9E 14 05 C4 09 00 90 70 97 58 22 70 52 05 00 08 00 A0 FE FF FF 7F 40 02 D2 35 FF FF FF FF 00 FE FF 08 7A C8 B2 00 00 00 00 00 00 00 00 00 00,05 F6 13,0,1,1,1,6,0,0,1,0
64,9,0.0212762987368649,0.0216554987154211,219,0,1,D,39 0F 00 15 EA AB 5E 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 05 89 C5 DB 00 00 00 00 00 00 00,01 89 56,0,1,1,1,1,1,0,1,0
64,10,0.0349924979225591,0.0353646979014122,217,0,1,D,39 13 00 15 46 85 06 12 A0 75 CD A0 0F 12 78 F0 FF FF FF FF FF 06 07 67 68 00 00 00 00 00 00 00,0F EF 38,0,1,1,1,2,0,0,1,0
64,11,0.035802697874459,0.0363168978448818,219,0,1,E,39 0E 00 20 AC 62 5E 2B 68 82 83 1A 3F FE 7F 95 75 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 06 71 FB C9 00 00 00 00 00 00 00 00 00 00 00 00,02 F5 35,0,1,1,1,0,0,0,1,0
