Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
10,1,7.3999995606755E-05,0.000262399985371681,227,0,1,9,41 00 05 08 01 16 4A 0B 3F 0F 71 C4,0 8B B1,0,1,1,1,7,1,0,1,0
10,2,0.00293839982555255,0.00331959980387129,219,0,1,D,39 0F 00 15 50 26 11 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF D0 E4 02 E9 00 00 00 00 00 00 00,06 3C C8,0,1,1,1,3,1,0,1,0
10,3,0.00383959977204995,0.00434359974319702,217,0,1,E,39 13 00 15 28 42 14 26 A0 42 CD 31 4F 12 08 F1 FF FF FF FF FF CF 4C AE 93 39 13 01 0B 52 BA 48 55 95 00 FE 03 BA FF EF 00 00 00 00 00 00 00 00,0C 1E A3,0,1,1,1,6,0,0,1,0
10,4,0.00434959974177218,0.00472479972056587,220,0,1,D,39 10 00 16 98 51 16 AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF CF 68 14 C5 00 00 00 00 00 00,1D A8 F7,0,1,1,1,4,0,0,1,0
10,5,0.00473119971911728,0.00545039967736959,18E19490,0,1,F,04 03 00 03 00 03 00 88 36 EE 0C 43 0D 22 01 FA 00 08 06 01 01 01 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,15 65 92,0,1,1,1,6,0,1,1,0
10,6,0.00548439967440117,0.00600439964447962,02D,0,1,E,00 8C 1A 05 C4 09 00 90 70 97 58 62 6F 52 05 00 08 00 A0 FE FF FF 7F 48 02 D2 35 FF FF FF FF 00 FE FF D3 FC E6 71 00 00 00 00 00 00 00 00 00 00,14 93 76,0,1,1,1,5,1,0,1,0
10,7,0.0174803989622205,0.0179963989324177,219,0,1,E,39 0E 00 20 5F FF 11 F9 F7 7E 83 1A 3F D0 7F D5 42 4D C1 16 B3 28 1D 5C 06 03 00 F1 FF FF FF FF D0 EC EE 6C 00 00 00 00 00 00 00 00 00 00 00 00,08 53 C0,1,1,1,0,4,0,0,1,0
10,8,0.0229363986383078,0.0233155986167452,219,0,1,D,39 0F 00 15 76 17 12 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF D1 78 74 EB 00 00 00 00 00 00 00,06 8B B4,0,1,1,1,1,1,0,1,0
10,9,0.0237079985924993,0.0240819985712455,217,0,1,D,39 13 00 15 1A 08 15 26 A0 42 8D 31 4F 12 08 F1 FF FF FF FF FF D0 78 59 17 00 00 00 00 00 00 00,0A F1 A5,0,1,1,1,4,0,0,1,0
10,10,0.0240879985699394,0.0244659985485668,220,0,1,D,39 10 00 16 BC F9 17 AE 2A 0A FA DC F0 34 28 00 00 00 00 00 FF FF D0 5B 5F 7F 00 00 00 00 00 00,0F FC 82,0,1,1,1,7,1,0,1,0
