Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,SBC,SBC Parity,IDE,BRS,ESI
61,1,0.00384279977185997,0.00435699974228275,219,0,1,E,39 0E 00 20 76 9C BA FD 47 7F 83 1A 3F 00 80 55 47 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 24 26 F0 55 00 00 00 00 00 00 00 00 00 00 00 00,10 64 14,0,1,1,1,0,0,0,1,0
61,2,0.00455499972957796,0.00493309970819948,220,0,1,D,39 10 00 16 43 CF BF AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 23 D2 0B C9 00 00 00 00 00 00,0A E8 5A,0,1,1,1,7,1,0,1,0
61,3,0.00493929970676277,0.00565949966507444,18E19490,0,1,F,04 03 00 03 00 03 00 92 36 EE 0C 2B 00 22 01 FD 00 08 06 01 01 01 01 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 13 11 00 15 05 15 00 00,02 2D 95,0,1,1,1,7,1,1,1,0
61,4,0.00783149953505813,0.00802069952477556,227,0,1,9,41 00 05 08 00 80 03 43 CB D7 26 3F,0 C4 EC,0,1,1,1,0,0,0,1,0
61,5,0.00909669945994551,0.0094767994384483,219,0,1,D,39 0F 00 15 8E 4C BB 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 25 7F F6 77 00 00 00 00 00 00 00,17 C0 1B,0,1,1,1,2,0,0,1,0
61,6,0.0131268992206799,0.0136539991903368,02D,0,1,E,C9 A5 C4 04 C4 09 00 10 00 80 00 20 FA 60 04 00 08 00 A0 FE FF FF 7F E0 01 D2 39 FF FF FF FF 00 FE FF 28 4A 3B 4C 00 00 00 00 00 00 00 00 00 00,10 B4 D7,0,1,1,1,4,0,0,1,0
61,7,0.0188323988819548,0.0192115988603922,217,0,1,D,39 13 00 15 F8 53 BE 00 A0 01 C0 00 D0 0F 20 F3 FF FF FF FF FF 25 81 85 96 00 00 00 00 00 00 00,00 59 29,0,1,1,1,1,1,0,1,0
61,8,0.0238415985845677,0.0243556985551151,219,0,1,E,39 0E 00 20 E2 B8 BB FD 47 7F 83 1A 3F 00 80 55 47 4D C1 14 B3 28 1D 5C 06 03 00 F1 FF FF FF FF 26 A1 F7 71 00 00 00 00 00 00 00 00 00 00 00 00,03 22 A8,0,1,1,1,0,0,0,1,0
61,9,0.0245776985408668,0.024954898519423,220,0,1,D,39 10 00 16 6F 5F C0 AE 2A 0A FA DC AC 00 28 00 00 00 00 00 FF FF 24 44 F0 F7 00 00 00 00 00 00,1E 64 B2,0,1,1,1,6,0,0,1,0
61,10,0.0277788983508174,0.0279670983405942,227,0,1,9,41 00 05 08 01 D3 B6 FB FB 48 7A 48,0 D9 37,0,1,1,1,7,1,0,1,0
61,11,0.0290870982731519,0.0294671982516547,219,0,1,D,39 0F 00 15 20 3E BC 20 FF FF 7F CF FF FF 3F FF FF FF FF FF FF 27 9E 31 0D 00 00 00 00 00 00 00,10 54 88,0,1,1,1,2,0,0,1,0
