Timestamp,ID,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63
0.00139169991737731,219,13,57,15,0,21,176,10,48,32,255,255,127,207,255,255,63,255,255,255,255,255,255,16,176,38,136,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0024308998556819,417436816,15,2,132,0,100,100,100,1,0,5,39,85,2,2,0,0,0,0,0,0,0,233,0,236,0,190,4,193,4,199,4,2,0,255,255,0,0,72,20,197,5,116,5,132,19,0,0,15,2,133,8,128,12,118,15,44,13,19,17,0,21,5,21,0,0
0.0032630998062757,212,9,57,4,12,5,14,15,244,255,255,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00556049966988326,217,13,57,19,0,21,240,175,49,12,160,77,205,195,15,18,80,240,255,255,255,255,255,16,52,139,239,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0124967992580878,220,13,57,16,0,22,10,128,50,14,162,33,0,35,44,53,44,0,0,0,0,0,255,255,16,99,234,157,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0133209992091565,45,14,89,77,82,4,196,9,0,144,112,151,88,98,70,82,5,44,200,222,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,20,121,164,137,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.016783099003618,219,15,57,14,1,15,72,53,255,255,255,255,255,255,255,191,210,8,188,253,255,57,14,0,32,139,29,49,3,152,127,131,26,63,37,128,85,76,77,193,22,179,40,29,92,6,3,0,241,255,255,255,255,18,247,182,125,0,0,0,0,0,0,0,0,0
0.0214043987292598,219,13,57,15,0,21,82,26,49,32,255,255,127,207,255,255,63,255,255,255,255,255,255,18,200,246,99,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0232305986208416,227,10,57,128,0,12,0,127,164,143,178,48,176,254,23,208,224,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0267920984094019,217,14,57,19,1,11,87,186,56,85,149,0,254,3,186,255,239,57,19,0,21,82,131,50,13,160,77,77,195,15,18,80,240,255,255,255,255,255,18,18,174,173,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0284713983097049,79,8,32,194,0,160,0,73,158,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0323735980780384,220,14,57,16,1,16,85,63,64,48,77,16,33,86,233,156,18,32,149,192,255,245,57,16,0,22,46,40,51,14,162,33,0,35,44,53,44,0,0,0,0,0,255,255,18,174,79,94,0,0,,,,,,,,,,,,,,,,
0.0328878980475054,417436816,15,3,104,6,204,22,76,210,16,14,16,14,30,0,251,0,251,0,0,0,7,1,7,1,0,0,239,1,239,1,0,0,0,0,15,2,16,39,0,172,13,15,14,16,14,30,0,148,220,5,116,22,216,12,132,28,0,19,17,0,21,5,21,0,0
0.0335831980062267,45,14,70,68,83,4,196,9,0,144,112,151,88,98,70,82,5,44,200,222,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,22,170,237,204,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0367722978168956,219,14,57,14,0,32,69,146,50,3,152,127,131,26,63,37,128,149,76,77,193,22,179,40,29,92,5,3,0,241,255,255,255,255,20,80,72,106,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.0413834975431371,219,13,57,15,0,21,116,43,50,32,255,255,127,207,255,255,63,255,255,255,255,255,255,20,118,93,101,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045462097300998,217,13,57,19,0,21,68,97,51,12,160,77,13,195,15,18,80,240,255,255,255,255,255,20,239,101,92,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00413249975466101,220,13,57,16,0,22,235,89,17,14,162,65,0,35,44,53,44,0,0,0,0,0,255,255,206,40,239,162,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00512169969593401,45,14,59,2,49,4,196,9,0,144,112,151,88,98,70,82,5,44,200,222,48,255,255,255,127,64,2,210,53,255,255,255,255,0,254,255,211,4,255,83,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.00858589949027078,219,14,57,14,0,32,105,9,16,3,152,127,131,26,63,37,128,149,76,77,193,22,179,40,29,92,5,3,0,241,255,255,255,255,208,42,109,235,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
0.00999309940672788,227,9,65,0,5,8,0,128,3,67,204,219,210,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0132591992128255,219,13,57,15,0,21,178,54,16,32,255,255,127,207,255,255,63,255,255,255,255,255,255,208,143,217,250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
